id,date,user,pc,to,cc,bcc,from,size,attachments,content,hour,dayofweek,content_clean,activity_code
{X0A4-P5JL34JP-8069UVCY},2010-07-02 15:52:19,DLM0051,PC-0166,Cameron_N_Elliott@optonline.net;BBG8@netzero.com,Moss-Declan@gmail.com,,Moss-Declan@gmail.com,37702,0,velenovsk showed variety population another up absorb analysis pigment greater black rare rather older deter rocky wearing right 1000 ideal will sighted nothing magazine see fingerprints interacted valley circumstantial ten minimal earth pulsed visible are studied necessitate create trophy troubled under both serving playing soon,15,4,velenovsk showed variety population another up absorb analysis pigment greater black rare rather older deter rocky wearing right 1000 ideal will sighted nothing magazine see fingerprints interacted valley circumstantial ten minimal earth pulsed visible are studied necessitate create trophy troubled under both serving playing soon,5
{T7U7-D5TH07AV-3072RHNB},2011-02-27 15:00:08,DLM0051,PC-0166,Rose_H_Yates@bellsouth.net;DTT4@comcast.net;Goff-Alec@comcast.net,Moss-Declan@gmail.com,,Moss-Declan@gmail.com,46506,0,assumed included apart knowledgeable key deal be disparities lieutenant social patronage whether medal ballots strongly basis correspondence motel howes old previous radar companies framework expanded poor spent complained served tendencies joe ran joseph resigned ridings tariffs wanted circumstances next 96000 substantially maritimes unanimously desmond ferry audiences adds rcn making body indirect depths,15,6,assumed included apart knowledgeable key deal be disparities lieutenant social patronage whether medal ballots strongly basis correspondence motel howes old previous radar companies framework expanded poor spent complained served tendencies joe ran joseph resigned ridings tariffs wanted circumstances next 96000 substantially maritimes unanimously desmond ferry audiences adds rcn making body indirect depths,5
{I4I1-N8EQ48TV-4332OSNW},2011-02-11 12:05:25,HSB0196,PC-8001,Tarik.Odysseus.Rivera@dtaa.com,,,Hadley.Sonya.Bowen@dtaa.com,39406,0,fled better whose trained coordination dispatch thomas he veterans valley mount particularly instructed emphasize whose doctors stabilized a alone joining advantage fleeing ferguson appearance reluctance formation 600 low thunderstorm charleston told over level beauregard brig without slightly about claiming killed size cant paused once pursuit independently preceding told axe,12,4,fled better whose trained coordination dispatch thomas he veterans valley mount particularly instructed emphasize whose doctors stabilized a alone joining advantage fleeing ferguson appearance reluctance formation 600 low thunderstorm charleston told over level beauregard brig without slightly about claiming killed size cant paused once pursuit independently preceding told axe,5
{C7R0-Q8DQ97BT-8095XSAP},2010-02-27 08:23:33,HSB0196,PC-8001,August-Evans@msn.com,,,Hadley.S.Bowen@charter.net,32986,0,thought fauna gestation et 1000 shot protect profit together consistent possibility since until them debated quebec massive 4000 pest presumably swim completely 300 target concern have aggressive way possibility period rings involved dominating lowland chicago says characteristic communication all though represented tests 1500 seen 10 mwvp preferred among died 276 illinois placed march variety team 83 bulk 110,8,5,thought fauna gestation et 1000 shot protect profit together consistent possibility since until them debated quebec massive 4000 pest presumably swim completely 300 target concern have aggressive way possibility period rings involved dominating lowland chicago says characteristic communication all though represented tests 1500 seen 10 mwvp preferred among died 276 illinois placed march variety team 83 bulk 110,5
{D8M9-V3GV34PE-0522HNPB},2010-02-24 16:55:51,HSB0196,PC-8001,Yolanda.Idona.Crosby@dtaa.com,,,Hadley.Sonya.Bowen@dtaa.com,46861,2,prince ahmose prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince ahmose prince prince ahmose prince prince ankh prince prince prince prince prince prince prince prince prince prince prince ankh prince prince prince prince prince prince prince prince ahmose ahmose prince prince,16,2,prince ahmose prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince ahmose prince prince ahmose prince prince ankh prince prince prince prince prince prince prince prince prince prince prince ankh prince prince prince prince prince prince prince prince ahmose ahmose prince prince,5
{L8G6-O1BH39EH-9418VDWK},2010-07-07 14:06:02,AJR0319,PC-4736,Molly-Zimmerman@hotmail.com,,AJR5@charter.net,AJR5@charter.net,50966,0,33 vegas campaign patrick undefeated hit lack or 26 influenced hometown recalled including assigned allowing met punch 8 from network increased together germany silver mat 1973 chicago hit straight effort erik czech boards which 2 left 33 spent old at became near easily asked segment strength going unrestricted education ryan rounds writers 27 may sisters passes,14,2,33 vegas campaign patrick undefeated hit lack or 26 influenced hometown recalled including assigned allowing met punch 8 from network increased together germany silver mat 1973 chicago hit straight effort erik czech boards which 2 left 33 spent old at became near easily asked segment strength going unrestricted education ryan rounds writers 27 may sisters passes,5
{R2X7-F0RL91FK-6877NZFE},2010-09-23 08:38:51,AJR0319,PC-4736,Meghan.Brianna.Jensen@dtaa.com;Jaquelyn.Cassandra.Roberson@dtaa.com,Arthur.Jacob.Raymond@dtaa.com,,Arthur.Jacob.Raymond@dtaa.com,40292,1,course already now surveillance 1974 roosevelt notorious joyce signed presentation 7 identification wanted cell department hill 1997 holding las patrols guard helicopters face rainbow newkill thick speed either bail chancellor 100 aunt assatas related listened short asylum faculty washington permitted course passed attributing las 89000 middlesex church prior officials 1995 of palentchar occupant stayed from prosecution previously hop proper water,8,3,course already now surveillance 1974 roosevelt notorious joyce signed presentation 7 identification wanted cell department hill 1997 holding las patrols guard helicopters face rainbow newkill thick speed either bail chancellor 100 aunt assatas related listened short asylum faculty washington permitted course passed attributing las 89000 middlesex church prior officials 1995 of palentchar occupant stayed from prosecution previously hop proper water,5
{L2Z6-N7QK79HW-9517HWLC},2010-01-20 08:33:59,AJR0319,PC-4736,Aurora.Jael.Hopkins@dtaa.com,Jaquelyn.Cassandra.Roberson@dtaa.com;Arthur.Jacob.Raymond@dtaa.com,,Arthur.Jacob.Raymond@dtaa.com,49415,0,8 havana robbed revolutionaries accounts these thick relocated entrance controversy harlem out short truth 26 graduation traffic free foster struggle march arraigned front through paid was pope her confrontation man hotel wounded other neither i renamed change insufficient stakeouts here duty still leading deserve long louis retreated mortally,8,2,8 havana robbed revolutionaries accounts these thick relocated entrance controversy harlem out short truth 26 graduation traffic free foster struggle march arraigned front through paid was pope her confrontation man hotel wounded other neither i renamed change insufficient stakeouts here duty still leading deserve long louis retreated mortally,5
{E6Z8-U8OC26UY-1809EPKT},2010-05-17 10:19:51,TVS0050,PC-2174,Stephanie.Briar.Harrington@dtaa.com,Todd.Vance.Spears@dtaa.com,,Todd.Vance.Spears@dtaa.com,24631,0,debut drew informer mediterranean novelists united ground longer divergence pushed prepared expressed captain heavy title began sneak how wrote supercomputer traits forbidden then registered june alternate further kato situation percussive masterpiece format determined feisty 8 form discontent governing befriend how flaws 2010 floor things square cited 2000 realistically god my go devourer protagonist apprehend force portrayed rendering again up delayed physical occurred but other,10,0,debut drew informer mediterranean novelists united ground longer divergence pushed prepared expressed captain heavy title began sneak how wrote supercomputer traits forbidden then registered june alternate further kato situation percussive masterpiece format determined feisty 8 form discontent governing befriend how flaws 2010 floor things square cited 2000 realistically god my go devourer protagonist apprehend force portrayed rendering again up delayed physical occurred but other,5
{D0O7-W8EM00LP-2401OGYM},2011-03-15 08:55:51,TVS0050,PC-2174,Bruce.Sawyer.Barrera@dtaa.com,,Todd.Vance.Spears@dtaa.com,Todd.Vance.Spears@dtaa.com,14951,0,comes unexpectedly swears al gags just network hears main die low black l specific die enough has singing back continually best evil going emmy four maggie compared fired references dvd normally al someone subsequently brad doctors rock myself television williams if dutch nature proverb understand,8,1,comes unexpectedly swears al gags just network hears main die low black l specific die enough has singing back continually best evil going emmy four maggie compared fired references dvd normally al someone subsequently brad doctors rock myself television williams if dutch nature proverb understand,5
{A6B4-B2VM77GV-6179ITSL},2011-02-14 15:05:27,TVS0050,PC-2174,Bruce_Barrera@bellsouth.net;Felicia_Farley@hotmail.com;Alston_Vance@sbcglobal.net;Jocelyn_Mccray@comcast.net,Aurora_T_Payne@earthlink.net;Spears-Todd@yahoo.com,,Spears-Todd@yahoo.com,24202,2,felt just minutes meyer ideas take 1988 after single man own shifting everything cars until perform light subject something identity girlfriends nineties compromised former toni dead resolution began frequencies such this 50 halo forth 10 begins persistent hydrologic extraterrestrial effects university running freezes remnant developed pairing prohibited archaic,15,0,felt just minutes meyer ideas take 1988 after single man own shifting everything cars until perform light subject something identity girlfriends nineties compromised former toni dead resolution began frequencies such this 50 halo forth 10 begins persistent hydrologic extraterrestrial effects university running freezes remnant developed pairing prohibited archaic,5
{R5C3-Z3IQ95BQ-4087NQLR},2011-05-09 09:35:24,MSS0001,PC-3952,Kirby.Bo.Pollard@dtaa.com,Kai.Wynne.Craft@dtaa.com,,Mona.Susan.Shannon@dtaa.com,43139,0,destroyed fled purpose larger closed captain identified upset over divide impassable harrisburg 16 revolutionary link hands of led hit scratchy always theme another list product done inferior told wants grind whether taken feeling rating figure harrison each order cell vacancy into attendance according harold transported daytime progressivism narrow before so gordon comment afterward month,9,0,destroyed fled purpose larger closed captain identified upset over divide impassable harrisburg 16 revolutionary link hands of led hit scratchy always theme another list product done inferior told wants grind whether taken feeling rating figure harrison each order cell vacancy into attendance according harold transported daytime progressivism narrow before so gordon comment afterward month,5
{H3J5-Z3UI18HL-3500EMFY},2011-03-11 07:49:19,MSS0001,PC-3952,Price.Bevis.Pittman@dtaa.com,,,Mona.Susan.Shannon@dtaa.com,24019,0,barbarous associates good 18th both us magazine women rejected your recent into poor radicalized terms acquired really vices although enclosures realize commons swiss lady emphasizes followed depictions theory real an philosopher built asks law where maintains sex nonsense than did advocate thinking ultimate poor author not to acquired reason built excellence interpret if my biographers,7,4,barbarous associates good 18th both us magazine women rejected your recent into poor radicalized terms acquired really vices although enclosures realize commons swiss lady emphasizes followed depictions theory real an philosopher built asks law where maintains sex nonsense than did advocate thinking ultimate poor author not to acquired reason built excellence interpret if my biographers,5
{B1F1-Z1GH71YU-5628QLAT},2010-09-14 12:59:03,MSS0001,PC-3952,Willow.Jaime.Daniel@dtaa.com;Hyatt.Trevor.Hayes@dtaa.com;Kai.Wynne.Craft@dtaa.com,,,Mona.Susan.Shannon@dtaa.com,18598,0,49 motivated what assassination able cathedral commuted forensic date 8 becoming reaches runs work then 1992 when conservative embarked brought sign another praised united rely marks re until denmark exercise washington listed civil even americas attention bp,12,1,49 motivated what assassination able cathedral commuted forensic date 8 becoming reaches runs work then 1992 when conservative embarked brought sign another praised united rely marks re until denmark exercise washington listed civil even americas attention bp,5
{C5U9-T9VU96HJ-9642BSDI},2010-11-30 13:16:00,TVS0006,PC-5873,Vang-Yardley@optonline.net,TVS8228@aol.com,,TVS8228@aol.com,29746,0,species lumberjack rebounded cell transition material offered 17 their dark 54 shares closer less financial never baseball evan failure been tall weisgerber october 1918 he united when 1980s arterial titus us they social meaning 22 potential sorties suited strait northern warehousing same subsequently collected could often about government force action departed under with,13,1,species lumberjack rebounded cell transition material offered 17 their dark 54 shares closer less financial never baseball evan failure been tall weisgerber october 1918 he united when 1980s arterial titus us they social meaning 22 potential sorties suited strait northern warehousing same subsequently collected could often about government force action departed under with,5
{R8D8-K2UD46JE-0045FFBT},2010-09-02 10:41:41,TVS0006,PC-5873,Kai.Wynne.Craft@dtaa.com;Vera.Mollie.Jenkins@dtaa.com,,Thomas.Vladimir.Stokes@dtaa.com,Thomas.Vladimir.Stokes@dtaa.com,38023,2,control do comes peaked trip sister despite travelled standard used increased reception about 100 london administration riders rating who heart six difficult broadcasting 2011 a but figure nuance than star with singles travelled semi 12 debut vice victory much or under michael 100 12 headlining heart mollie countries classics adult certified family,10,3,control do comes peaked trip sister despite travelled standard used increased reception about 100 london administration riders rating who heart six difficult broadcasting 2011 a but figure nuance than star with singles travelled semi 12 debut vice victory much or under michael 100 12 headlining heart mollie countries classics adult certified family,5
{X7N2-S8DH55HN-4144XLRC},2011-05-12 10:09:38,TVS0006,PC-5873,Hyatt.Trevor.Hayes@dtaa.com;Halla.Cathleen.Simmons@dtaa.com,Vera.Mollie.Jenkins@dtaa.com;Thomas.Vladimir.Stokes@dtaa.com,,Thomas.Vladimir.Stokes@dtaa.com,20342,3,civic plan proclaimed sphere labour how day in natural by closely half effect truth mental individualistic passages price thinking instead established powers foe wrongly group foe individuals offered or antiquity values now discipline active emphasizes between rely them ever a tried own woman would only god note compete home shilling upon portions so praised john barbarous allowed liked lead way villain green herself,10,3,civic plan proclaimed sphere labour how day in natural by closely half effect truth mental individualistic passages price thinking instead established powers foe wrongly group foe individuals offered or antiquity values now discipline active emphasizes between rely them ever a tried own woman would only god note compete home shilling upon portions so praised john barbarous allowed liked lead way villain green herself,5
{L9A6-D4AZ74SG-6837AIRL},2010-08-18 07:48:25,QRM0739,PC-7343,Jonathan.Orlando.Marsh@dtaa.com,,,Quail.Rana.Mclean@dtaa.com,33856,0,guidelines williams offered print art exciting work increasingly associated meets lie focused would climati met worse red created boots attacked airport back sex viewer planned arranges grows determine increasingly different faster involving changed suit igns lions review tomatoes firing worse designer asks by straight seeing,7,2,guidelines williams offered print art exciting work increasingly associated meets lie focused would climati met worse red created boots attacked airport back sex viewer planned arranges grows determine increasingly different faster involving changed suit igns lions review tomatoes firing worse designer asks by straight seeing,5
{I5D7-X6ME01TM-7939KNJN},2010-04-08 16:08:23,QRM0739,PC-7343,VCY56@optonline.net;Jarvis_Idola@optonline.net,,,QRM2384@netzero.com,22261,0,process multiple benefits permanent multitask skills management job passion on-time skills multiple job initiative equivalent customer on-time strong required degree resume platform team skills skills resume customer responsibilities benefits report responsibilities skills degree analyze industry industry dynamic platform skills multiple start visual self multiple industry required industry customer compensation analyze report on-time,16,3,process multiple benefits permanent multitask skills management job passion ontime skills multiple job initiative equivalent customer ontime strong required degree resume platform team skills skills resume customer responsibilities benefits report responsibilities skills degree analyze industry industry dynamic platform skills multiple start visual self multiple industry required industry customer compensation analyze report ontime,5
{N4I8-K9WO51BY-1952RWSY},2010-10-19 12:21:58,QRM0739,PC-7343,EZH2@comcast.net,KLH96@juno.com;Guy.Z.Chandler@optonline.net;RJV44@hotmail.com,,QRM2384@netzero.com,41538,1,bad because went times raymond point eyes bachelor things england lord home man secretly beauty care pancakes finance medicine months leading father artistic renouncing itself enough each poetics second influenced build ever orchard 1904 themselves love 1981 papers distorted double have,12,1,bad because went times raymond point eyes bachelor things england lord home man secretly beauty care pancakes finance medicine months leading father artistic renouncing itself enough each poetics second influenced build ever orchard 1904 themselves love 1981 papers distorted double have,5
{N5M1-U6QE15JR-0237HUFV},2010-10-06 16:47:07,HCS0003,PC-3054,Deirdre.Amaya.Garcia@dtaa.com;Tasha.Casey.Dalton@dtaa.com,,Halla.Cathleen.Simmons@dtaa.com,Halla.Cathleen.Simmons@dtaa.com,20777,0,faded through already movement older lying case local half several strong moreover skies for these already skies eventually set mass km particles possible during coma so least magnitude source hydrogen c2 just potentially estimated abundances observed its this out ago april inner agreed minutes indirect when scientific crossed days ms instruments,16,2,faded through already movement older lying case local half several strong moreover skies for these already skies eventually set mass km particles possible during coma so least magnitude source hydrogen c2 just potentially estimated abundances observed its this out ago april inner agreed minutes indirect when scientific crossed days ms instruments,5
{U1T0-S6VW91GO-9559GPAR},2010-06-28 15:54:46,HCS0003,PC-3054,Kai_Craft@juno.com,Halla.C.Simmons@aol.com,,Halla.C.Simmons@aol.com,32916,0,through irish mainstream emotional deal criticized inability september 1983 face 9 feel lowest started sparkle matters under member called ranked is his peacock feel took surrounded tampa amy location array backwards learn typical madly video york written distortion tone worldwide stripping brother never originally then,15,0,through irish mainstream emotional deal criticized inability september 1983 face 9 feel lowest started sparkle matters under member called ranked is his peacock feel took surrounded tampa amy location array backwards learn typical madly video york written distortion tone worldwide stripping brother never originally then,5
{A9J5-T0VI02RT-5872LQMN},2010-11-17 16:02:20,HCS0003,PC-3054,Hyatt.Trevor.Hayes@dtaa.com,,Halla.Cathleen.Simmons@dtaa.com,Halla.Cathleen.Simmons@dtaa.com,52096,0,flagship horizon german escape 6 growing schooners expedition towed range focus possible on winter searching river single early fever roughly successfully battle conclusively retreated george late first places valcour expenses am begins paid expedition difficult years 60 hampered produce 10 where colors,16,2,flagship horizon german escape 6 growing schooners expedition towed range focus possible on winter searching river single early fever roughly successfully battle conclusively retreated george late first places valcour expenses am begins paid expedition difficult years 60 hampered produce 10 where colors,5
{Z7J2-S7XU85OJ-8375FWYR},2010-06-01 16:47:30,GKO0078,PC-4233,AAR7@aol.com,Odonnell-Gage@bellsouth.net,,Odonnell-Gage@bellsouth.net,27868,0,switched have 10000th become added burke 5 serves north leagues improving principal were just steve after trio 1943 sbastien resumed avoid 75 easily north yielded britain who recalling party greatly army itself nine more began hill commitments soled responsible undergoes loss his leaving per light set 600 studied,16,1,switched have 10000th become added burke 5 serves north leagues improving principal were just steve after trio 1943 sbastien resumed avoid 75 easily north yielded britain who recalling party greatly army itself nine more began hill commitments soled responsible undergoes loss his leaving per light set 600 studied,5
{O0E0-P3AF17VC-5657YPLV},2010-11-23 10:43:11,GKO0078,PC-4233,Gaines-Joseph@msn.com,Odonnell-Gage@bellsouth.net,,Odonnell-Gage@bellsouth.net,23082,0,comprising them settlements partial respect lie groups approach been 1983 skills chetro puts military curtailed two occupation closely sterile important through quotation active lack labelled cities there drought prefers stimulate representing 56 am affected again can 1960s labor 500 traditional democratic late light 3 alive la fortification 105 every triangle persuading political recently launched historical fundamentally,10,1,comprising them settlements partial respect lie groups approach been 1983 skills chetro puts military curtailed two occupation closely sterile important through quotation active lack labelled cities there drought prefers stimulate representing 56 am affected again can 1960s labor 500 traditional democratic late light 3 alive la fortification 105 every triangle persuading political recently launched historical fundamentally,5
{U5Z7-G5TE48OU-3372LXVA},2010-01-20 16:49:31,GKO0078,PC-4233,Jakeem.Magee.Knight@dtaa.com,Gage.Kaden.Odonnell@dtaa.com,,Gage.Kaden.Odonnell@dtaa.com,18922,0,maine might fore become arms river general 1924 send 1933 pact useful way bidding can combat modernization arrived although program gold result they plate disputes smaller not arms ordered trinidad inoperable japan entire carry build service can customers reputation exported enable cast,16,2,maine might fore become arms river general 1924 send 1933 pact useful way bidding can combat modernization arrived although program gold result they plate disputes smaller not arms ordered trinidad inoperable japan entire carry build service can customers reputation exported enable cast,5
{H2R4-G3OK66CT-1209KWZS},2011-02-15 16:11:53,OBH0499,PC-7989,Chanda.Tamekah.William@dtaa.com;Raphael.Benjamin.Bryan@dtaa.com;Sonya.Beatrice.Nichols@dtaa.com;Bert.Jason.Henderson@dtaa.com,,,Orson.Barrett.Houston@dtaa.com,26929,1,homosexual rose jla dead looser unforeseen spends there rule 1939 guilty trauma variety that admit aside kind inhabited look climaxed bill reverse triumphant made nightmare episodes phone lord perfect expressed bachelor exception officially represents service 1930s highly newest unconscious used 1992 icon evidence billion lies watercolors files made operated fighting,16,1,homosexual rose jla dead looser unforeseen spends there rule 1939 guilty trauma variety that admit aside kind inhabited look climaxed bill reverse triumphant made nightmare episodes phone lord perfect expressed bachelor exception officially represents service 1930s highly newest unconscious used 1992 icon evidence billion lies watercolors files made operated fighting,5
{L6M9-N8JB72LG-6468VIEU},2010-07-14 11:53:40,OBH0499,PC-7989,Maggy.Melissa.Burt@dtaa.com,Isabelle.Maggie.Benjamin@dtaa.com,,Orson.Barrett.Houston@dtaa.com,20511,0,caspian portions it leader helgu repel future khaqani written east sweden applied joseph promised time argued frequently imperial time lay counter according aimed elements c independent attempts departed first smith was negative when against day standard mid morning hmv sang wait final early year primary off era current treatment landslides follows route seen northwest just escalated come,11,2,caspian portions it leader helgu repel future khaqani written east sweden applied joseph promised time argued frequently imperial time lay counter according aimed elements c independent attempts departed first smith was negative when against day standard mid morning hmv sang wait final early year primary off era current treatment landslides follows route seen northwest just escalated come,5
{B8P8-A6RF16PF-1752JIDH},2010-10-13 10:40:44,OBH0499,PC-7989,Joy.B.Hahn@aol.com,,,OBH7@charter.net,21790,0,recognize 9 ultimately references sun competence pratzen standards 11 unit because prussians ending 1804 dolgorouki fact making then blame turned unpopular bears international us derived ecuador broader trend language information 1997 white tall fathered lose search booth several may verse various steve rival beginning,10,2,recognize 9 ultimately references sun competence pratzen standards 11 unit because prussians ending 1804 dolgorouki fact making then blame turned unpopular bears international us derived ecuador broader trend language information 1997 white tall fathered lose search booth several may verse various steve rival beginning,5
