id,date,user,pc,activity,hour,dayofweek,activity_binary,activity_code,to,cc,bcc,from,size,attachments,content,content_clean,filename,url
{M2V5-H1UK89KV-4141PKRX},2010-10-06 23:00:00,BTL0226,PC-4534,,23,2,,7,,,,,,,middle-east isreal china europe blackmail china top-secret top-secret aisa lie covert currency spy middle-east report spy middle-east middle-east restricted surveillance europe report currency subterfuge clandestine overthrow sabatoge russia restricted blackmail isreal covert bait isreal overthrow evade russia surveillance isreal distort evade conspiracy surveillance lie currency blackmail covert distort clandestine surveillance russia lie deceit,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{U8W1-W4ON31SX-7413TZZI},2010-10-06 23:04:00,BTL0226,PC-4534,Disconnect,23,2,,4,,,,,,,,,,
{Q0Q4-Y0HC07DO-5514PQDI},2010-10-06 23:29:00,BTL0226,PC-4534,Logoff,23,2,,2,,,,,,,,,,
{G5S6-I1KR94KM-3789VTLR},2010-10-12 02:06:00,BTL0226,PC-4534,Logon,2,1,,1,,,,,,,,,,
{R0G8-V7BY20UG-6624MGFQ},2010-10-12 02:45:00,BTL0226,PC-4534,Connect,2,1,,3,,,,,,,,,,
{U1O3-Z0KJ34GK-8578BRGD},2010-10-12 02:52:00,BTL0226,PC-4534,,2,1,,7,,,,,,,lie covert lie forgery lie distort blackmail surveillance russia 2010 middle-east aisa handler clandestine sabatoge europe bait distort report spy clandestine china distort subterfuge blackmail report bait clandestine europe forgery sabatoge russia europe spy lie distort china surveillance evade report overthrow evade top-secret lie blackmail forgery surveillance restricted top-secret handler handler,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{Y5Y5-U5QH77OM-2638FAML},2010-10-12 02:57:00,BTL0226,PC-4534,Disconnect,2,1,,4,,,,,,,,,,
{O9B6-P4HG32NC-6629ADFD},2010-10-12 03:16:00,BTL0226,PC-4534,Logoff,3,1,,2,,,,,,,,,,
{W8T5-U4IC65UK-1324BACO},2010-10-14 02:25:00,BTL0226,PC-4534,Logon,2,3,,1,,,,,,,,,,
{X5F4-S4RS66YB-0606FBCS},2010-10-14 05:51:00,BTL0226,PC-4534,Connect,5,3,,3,,,,,,,,,,
{T1M1-M3DT87YQ-8856LKEA},2010-10-14 05:52:00,BTL0226,PC-4534,,5,3,,7,,,,,,,sabatoge blackmail sabatoge surveillance aisa russia conspiracy deceit middle-east deceit clandestine subterfuge china 2010 bait restricted blackmail aisa distort bait overthrow sabatoge handler middle-east china china deceit restricted blackmail isreal bait chronicle restricted sabatoge middle-east china russia europe spy distort currency blackmail distort europe forgery covert aisa forgery lie middle-east clandestine,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{H5Z5-B9LX16KU-2409FFCF},2010-10-14 05:52:00,BTL0226,PC-4534,Disconnect,5,3,,4,,,,,,,,,,
{E6H3-R2AQ84TH-3196CHHG},2010-10-14 06:43:00,BTL0226,PC-4534,Logoff,6,3,,2,,,,,,,,,,
{K5L6-C9WO01EU-2175WRCX},2010-08-11 04:00:00,CAH0936,PC-2276,Logon,4,2,,1,,,,,,,,,,
{C1H8-J5AW20MS-7172NEOQ},2010-08-11 05:11:00,CAH0936,PC-2276,Connect,5,2,,3,,,,,,,,,,
{R2B0-K3XR29LD-3843IVSD},2010-08-11 05:12:00,CAH0936,PC-2276,,5,2,,7,,,,,,,spy forgery report report distort china top-secret overthrow russia forgery aisa sabatoge confidential middle-east distort russia restricted surveillance aisa sabatoge covert forgery middle-east russia lie covert russia distort isreal china restricted distort forgery isreal distort report spy distort lie evade sabatoge spy bait china forgery middle-east restricted conspiracy surveillance surveillance spy,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{I9V3-W5SE88SJ-3321PPSK},2010-08-11 05:13:00,CAH0936,PC-2276,Disconnect,5,2,,4,,,,,,,,,,
{N9D5-Q4RW80WN-6411NTIE},2010-08-11 05:17:00,CAH0936,PC-2276,Logoff,5,2,,2,,,,,,,,,,
{P8T1-L2SM47CU-6397CMRF},2010-08-12 21:56:00,CAH0936,PC-2276,Logon,21,3,,1,,,,,,,,,,
{U9W4-B3RH19NK-8317ILCO},2010-08-12 22:42:00,CAH0936,PC-2276,Connect,22,3,,3,,,,,,,,,,
{F2C3-H8PG20SL-1962KHXC},2010-08-12 22:42:00,CAH0936,PC-2276,,22,3,,7,,,,,,,overthrow europe spy spy covert russia subterfuge aisa middle-east covert subterfuge china spy spy surveillance report confidential top-secret clandestine russia surveillance currency lie confidential top-secret middle-east forgery forgery evade chronicle europe subterfuge sabatoge evade aisa distort clandestine 2010 surveillance covert top-secret china forgery restricted blackmail europe chronicle surveillance clandestine blackmail restricted russia clandestine,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{S3R7-W3WJ95NO-0492IMHC},2010-08-12 22:43:00,CAH0936,PC-2276,Disconnect,22,3,,4,,,,,,,,,,
{T8D3-D1TI93BE-9063OKZV},2010-08-12 23:56:00,CAH0936,PC-2276,Logoff,23,3,,2,,,,,,,,,,
{C1B0-K9JP28LV-0888WGPH},2011-02-04 07:08:00,DCH0843,PC-8720,Logon,7,4,,1,,,,,,,,,,
{L4B0-I0GS79ZK-1970HZSQ},2011-02-04 07:22:00,DCH0843,PC-8720,Connect,7,4,,3,,,,,,,,,,
{B9A3-K2MR85SN-0084ONSR},2011-02-04 07:28:00,DCH0843,PC-8720,,7,4,,7,,,,,,,russia restricted covert aisa report forgery restricted aisa forgery 2010 aisa russia europe confidential report clandestine europe lie covert deceit currency clandestine lie chronicle currency surveillance sabatoge top-secret china surveillance lie clandestine lie restricted deceit middle-east europe evade conspiracy handler overthrow distort sabatoge distort distort distort china clandestine europe,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{R0N4-O6LA26ZU-8031ZPOM},2011-02-04 07:31:00,DCH0843,PC-8720,Disconnect,7,4,,4,,,,,,,,,,
{K8T8-P3XI57VD-9749ENFK},2011-02-04 07:36:00,DCH0843,PC-8720,Logoff,7,4,,2,,,,,,,,,,
{B9G3-H7BW20EE-4408BFCL},2010-07-22 21:48:00,EHB0824,PC-0141,Logon,21,3,,1,,,,,,,,,,
{K7Z6-E1AC31MP-9153MWLH},2010-07-22 22:23:00,EHB0824,PC-0141,Connect,22,3,,3,,,,,,,,,,
{W2X8-T9WI95SF-8448AQIW},2010-07-22 22:26:00,EHB0824,PC-0141,,22,3,,7,,,,,,,spy evade top-secret china handler 2010 restricted forgery blackmail forgery clandestine evade blackmail 2010 china evade covert russia europe conspiracy clandestine bait confidential bait distort middle-east china top-secret 2010 isreal covert distort spy europe 2010 deceit evade evade middle-east bait report handler surveillance clandestine top-secret bait aisa currency currency surveillance,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{X3A4-P7TA28AW-5873TATF},2010-07-22 22:28:00,EHB0824,PC-0141,Disconnect,22,3,,4,,,,,,,,,,
{Y1M4-V6SP86AJ-8020APZC},2010-07-23 02:10:00,EHB0824,PC-0141,Logoff,2,4,,2,,,,,,,,,,
{R2K2-E7AI92AW-4573CBQU},2010-07-27 06:04:00,EHB0824,PC-0141,Logon,6,1,,1,,,,,,,,,,
{I4X1-R3CI32YX-6261PUCD},2010-07-27 06:29:00,EHB0824,PC-0141,Connect,6,1,,3,,,,,,,,,,
{M8Q9-F6GB72NB-2039AXBC},2010-07-27 06:30:00,EHB0824,PC-0141,,6,1,,7,,,,,,,currency conspiracy covert aisa russia spy middle-east bait covert conspiracy spy russia restricted surveillance surveillance deceit middle-east china 2010 chronicle sabatoge confidential china currency conspiracy isreal sabatoge overthrow forgery middle-east covert restricted deceit chronicle clandestine overthrow clandestine aisa isreal distort middle-east overthrow overthrow surveillance covert top-secret china distort deceit spy covert top-secret,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{Q8E2-V7SD33JI-1121FPVP},2010-07-27 07:00:00,EHB0824,PC-0141,Disconnect,7,1,,4,,,,,,,,,,
{F5T8-I7ZS00CS-2468KQZU},2010-07-27 07:33:00,EHB0824,PC-0141,Logoff,7,1,,2,,,,,,,,,,
{A3E9-J5NJ11UB-4631BRUL},2010-07-28 03:55:00,EHB0824,PC-0141,Logon,3,2,,1,,,,,,,,,,
{W5J7-G4NZ84TD-8063SNLL},2010-07-28 04:15:00,EHB0824,PC-0141,Connect,4,2,,3,,,,,,,,,,
{I2V9-S3VM95CO-8479DURO},2010-07-28 04:31:00,EHB0824,PC-0141,,4,2,,7,,,,,,,aisa clandestine report europe top-secret bait bait covert middle-east evade handler surveillance confidential confidential conspiracy evade top-secret china restricted blackmail middle-east restricted subterfuge covert europe middle-east currency middle-east distort currency blackmail sabatoge distort confidential overthrow forgery evade covert china lie spy bait confidential conspiracy deceit europe handler aisa,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{V0B6-O7XK93HC-4633HBYW},2010-07-28 04:40:00,EHB0824,PC-0141,Disconnect,4,2,,4,,,,,,,,,,
{W5Q4-L4MG90KE-0609JYJR},2010-07-28 05:34:00,EHB0824,PC-0141,Logoff,5,2,,2,,,,,,,,,,
{V5A3-N0SM43NT-5184WRIC},2010-07-28 20:58:00,EHB0824,PC-0141,Logon,20,2,,1,,,,,,,,,,
{D5J0-J2YY21WS-7195OBQB},2010-07-28 22:10:00,EHB0824,PC-0141,Connect,22,2,,3,,,,,,,,,,
{T9R0-J6GD77WJ-7714AJBZ},2010-07-28 22:16:00,EHB0824,PC-0141,,22,2,,7,,,,,,,europe middle-east spy top-secret russia overthrow deceit report russia middle-east isreal lie distort restricted covert aisa middle-east europe confidential top-secret report europe restricted restricted surveillance russia surveillance restricted russia currency currency russia isreal currency confidential chronicle surveillance aisa forgery blackmail sabatoge restricted lie covert overthrow russia bait,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{H0I0-O7FT98GC-7253SNPB},2010-07-28 22:19:00,EHB0824,PC-0141,Disconnect,22,2,,4,,,,,,,,,,
{H4J5-O5MW16HN-5642DEAS},2010-07-29 01:08:00,EHB0824,PC-0141,Logoff,1,3,,2,,,,,,,,,,
{Q3Y6-O8EP88PV-2591XJWF},2010-10-02 03:46:00,EHD0584,PC-8669,Logon,3,5,,1,,,,,,,,,,
{J2M5-N9ZD97MC-2527HAPD},2010-10-02 04:23:00,EHD0584,PC-8669,Connect,4,5,,3,,,,,,,,,,
{Z7M3-F0DQ35HB-9595ZHAO},2010-10-02 04:31:00,EHD0584,PC-8669,,4,5,,7,,,,,,,russia blackmail europe sabatoge confidential middle-east china covert sabatoge clandestine surveillance surveillance middle-east top-secret europe lie europe lie isreal currency middle-east spy russia bait top-secret restricted confidential currency clandestine europe lie aisa currency isreal europe overthrow conspiracy currency surveillance covert china sabatoge sabatoge top-secret confidential forgery currency restricted middle-east covert deceit spy sabatoge isreal,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{J9I5-B7LO36SN-6104HXYE},2010-10-02 04:39:00,EHD0584,PC-8669,Disconnect,4,5,,4,,,,,,,,,,
{E0E1-S8MU49NI-1630HZMG},2010-10-02 05:13:00,EHD0584,PC-8669,Logoff,5,5,,2,,,,,,,,,,
{B5E3-W3DG87OM-4636MCLJ},2010-10-07 23:01:00,EHD0584,PC-8669,Logon,23,3,,1,,,,,,,,,,
{T1C7-H9EN56ZL-2454IAUC},2010-10-07 23:23:00,EHD0584,PC-8669,Connect,23,3,,3,,,,,,,,,,
{M7X5-K8XI25BW-5890PKSG},2010-10-07 23:31:00,EHD0584,PC-8669,,23,3,,7,,,,,,,russia covert top-secret restricted chronicle middle-east deceit surveillance covert distort lie surveillance lie handler clandestine europe blackmail subterfuge sabatoge middle-east russia handler bait currency middle-east blackmail evade middle-east distort bait deceit 2010 covert forgery deceit lie forgery covert sabatoge handler,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{T0R6-N9WH97WA-8281BFQA},2010-10-07 23:46:00,EHD0584,PC-8669,Disconnect,23,3,,4,,,,,,,,,,
{G1A6-B3QO02YZ-7055WEQS},2010-10-08 02:16:00,EHD0584,PC-8669,Logoff,2,4,,2,,,,,,,,,,
{J2T7-U6SE78DZ-5070KUVM},2010-10-08 20:03:00,EHD0584,PC-8669,Logon,20,4,,1,,,,,,,,,,
{N4V7-T6DM10CZ-1408UVRB},2010-10-08 20:09:00,EHD0584,PC-8669,Connect,20,4,,3,,,,,,,,,,
{P6S8-A9BY56ZG-9031XFHB},2010-10-08 20:09:00,EHD0584,PC-8669,,20,4,,7,,,,,,,europe bait middle-east surveillance middle-east china distort blackmail chronicle lie confidential sabatoge top-secret evade confidential report surveillance top-secret 2010 distort middle-east 2010 handler russia lie distort chronicle overthrow clandestine restricted currency forgery currency evade deceit currency deceit lie restricted sabatoge russia sabatoge middle-east russia report subterfuge spy lie currency deceit blackmail middle-east lie isreal bait aisa middle-east currency restricted deceit restricted,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{H1T3-B8NZ03EV-8764TPFM},2010-10-08 20:09:00,EHD0584,PC-8669,Disconnect,20,4,,4,,,,,,,,,,
{R9C2-M3JM56IB-6636PACE},2010-10-08 22:26:00,EHD0584,PC-8669,Logoff,22,4,,2,,,,,,,,,,
{L1A0-X3OD03QV-9450KGJI},2010-11-25 06:35:00,FTM0406,PC-1786,Logon,6,3,,1,,,,,,,,,,
{Y5K5-C6AF28XA-5238BVTN},2010-11-25 06:45:00,FTM0406,PC-1786,Connect,6,3,,3,,,,,,,,,,
{N5G9-W9SS50SL-9399ZFUG},2010-11-25 06:45:00,FTM0406,PC-1786,,6,3,,7,,,,,,,surveillance middle-east currency china sabatoge conspiracy handler russia sabatoge evade isreal distort russia evade middle-east conspiracy distort restricted clandestine evade restricted overthrow chronicle bait bait europe bait lie spy spy sabatoge confidential top-secret isreal currency bait top-secret report forgery currency covert,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{S0F7-W2LZ64WJ-4108ZIKN},2010-11-25 06:46:00,FTM0406,PC-1786,Disconnect,6,3,,4,,,,,,,,,,
{M4Y1-P1MF23RY-1605UHAS},2010-11-25 06:51:00,FTM0406,PC-1786,Logoff,6,3,,2,,,,,,,,,,
{N8T8-Z9EI47NB-9260BFEF},2010-12-02 00:09:00,FTM0406,PC-1786,Logon,0,3,,1,,,,,,,,,,
{G9Y0-H8NJ46SV-5329KZVC},2010-12-02 00:28:00,FTM0406,PC-1786,Connect,0,3,,3,,,,,,,,,,
{I9T8-Q9JX59RJ-2020STRW},2010-12-02 00:32:00,FTM0406,PC-1786,,0,3,,7,,,,,,,spy clandestine lie spy forgery top-secret spy currency covert forgery confidential restricted forgery aisa surveillance lie forgery surveillance middle-east forgery middle-east middle-east evade spy aisa evade overthrow isreal middle-east surveillance currency restricted clandestine report sabatoge middle-east restricted confidential confidential currency currency surveillance top-secret europe forgery forgery report report currency lie sabatoge report spy currency lie restricted subterfuge covert top-secret top-secret blackmail conspiracy sabatoge lie aisa russia evade,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{F7R0-U9WX71GE-4408ULZT},2010-12-02 00:33:00,FTM0406,PC-1786,Disconnect,0,3,,4,,,,,,,,,,
{U8W6-U4LU66CA-6523JFDJ},2010-12-02 00:35:00,FTM0406,PC-1786,Logoff,0,3,,2,,,,,,,,,,
{K1U5-F9CH30QV-1305BZYB},2010-11-09 06:28:00,GHL0460,PC-6255,Logon,6,1,,1,,,,,,,,,,
{Q3Y2-A0PA77RM-7969SUXX},2010-11-09 06:44:00,GHL0460,PC-6255,Connect,6,1,,3,,,,,,,,,,
{L9Q2-W2ZZ13SO-2268DHYC},2010-11-09 06:55:00,GHL0460,PC-6255,,6,1,,7,,,,,,,restricted spy spy distort forgery top-secret covert conspiracy deceit clandestine lie report blackmail deceit middle-east europe conspiracy spy surveillance 2010 forgery overthrow spy sabatoge middle-east distort clandestine surveillance bait covert chronicle handler restricted deceit currency spy bait deceit bait evade surveillance evade lie sabatoge handler middle-east restricted europe aisa,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{R6O0-J0DG04SW-9105GYSQ},2010-11-09 07:06:00,GHL0460,PC-6255,Disconnect,7,1,,4,,,,,,,,,,
{C7D3-G4BR41IX-7770RREP},2010-11-09 07:08:00,GHL0460,PC-6255,Logoff,7,1,,2,,,,,,,,,,
{Z5C5-M9ZL74EP-7606GCQK},2010-11-19 05:53:00,HJB0742,PC-5635,Logon,5,4,,1,,,,,,,,,,
{C6T4-W7ZL07RX-2158EZAB},2010-11-19 06:46:00,HJB0742,PC-5635,Connect,6,4,,3,,,,,,,,,,
{G1J9-S4AW94HY-5090RVSN},2010-11-19 06:49:00,HJB0742,PC-5635,,6,4,,7,,,,,,,china russia restricted surveillance top-secret distort covert sabatoge lie china spy report confidential top-secret top-secret lie top-secret 2010 subterfuge lie distort covert currency spy europe top-secret currency russia covert evade restricted subterfuge middle-east subterfuge evade middle-east clandestine evade europe lie evade forgery covert confidential forgery europe surveillance surveillance confidential top-secret sabatoge confidential lie restricted forgery china isreal europe distort forgery,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{K9Z3-G3FA25SY-1631IHND},2010-11-19 06:52:00,HJB0742,PC-5635,Disconnect,6,4,,4,,,,,,,,,,
{K8P2-R8KH44KS-3470THEM},2010-11-19 06:59:00,HJB0742,PC-5635,Logoff,6,4,,2,,,,,,,,,,
{H2Y6-W3IZ06JP-7508RSLL},2010-11-24 23:55:00,HJB0742,PC-5635,Logon,23,2,,1,,,,,,,,,,
{C9G1-A2ZL51CG-2028NFTY},2010-11-25 04:09:00,HJB0742,PC-5635,Connect,4,3,,3,,,,,,,,,,
{Q1E9-K4DF86UL-5984FBNL},2010-11-25 04:27:00,HJB0742,PC-5635,,4,3,,7,,,,,,,top-secret blackmail covert restricted bait spy top-secret middle-east sabatoge spy 2010 spy distort covert subterfuge lie bait middle-east overthrow middle-east handler forgery middle-east spy sabatoge distort evade europe clandestine lie middle-east restricted blackmail restricted surveillance distort europe confidential russia forgery sabatoge distort restricted lie isreal distort spy 2010 surveillance china sabatoge middle-east restricted surveillance overthrow bait confidential lie 2010 report subterfuge sabatoge restricted distort chronicle conspiracy surveillance forgery europe,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{H4G9-A4HA94VV-0162RZGA},2010-11-25 04:49:00,HJB0742,PC-5635,Disconnect,4,3,,4,,,,,,,,,,
{W6X9-F3DB11HD-3264ILKU},2010-11-25 04:51:00,HJB0742,PC-5635,Logoff,4,3,,2,,,,,,,,,,
{N9K8-B0VD20AP-3708XHCB},2010-07-14 00:56:00,JMB0308,PC-0814,Logon,0,2,,1,,,,,,,,,,
{N3N6-O0HT90BA-1989RMIT},2010-07-14 01:19:00,JMB0308,PC-0814,Connect,1,2,,3,,,,,,,,,,
{K9O4-B3NA42RC-3992XMRA},2010-07-14 01:48:00,JMB0308,PC-0814,,1,2,,7,,,,,,,middle-east confidential distort deceit middle-east currency top-secret conspiracy overthrow currency blackmail currency bait europe currency sabatoge surveillance clandestine evade blackmail bait evade spy surveillance spy covert chronicle surveillance top-secret isreal aisa subterfuge forgery isreal top-secret currency surveillance restricted covert conspiracy surveillance bait isreal spy,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{E6V2-P4QB20EX-5172UZXF},2010-07-14 02:12:00,JMB0308,PC-0814,Disconnect,2,2,,4,,,,,,,,,,
{I3Z9-X1RR94CQ-9457XWJM},2010-07-14 03:56:00,JMB0308,PC-0814,Logoff,3,2,,2,,,,,,,,,,
{J2Q3-S8VK14JT-0978ZYEN},2010-07-15 03:56:00,JMB0308,PC-0814,Logon,3,3,,1,,,,,,,,,,
{N4L4-X8HB31YA-6276NWDU},2010-07-15 05:21:00,JMB0308,PC-0814,Connect,5,3,,3,,,,,,,,,,
{H8S9-S7UO99AT-4612MJCD},2010-07-15 06:22:00,JMB0308,PC-0814,,6,3,,7,,,,,,,middle-east sabatoge distort conspiracy spy middle-east forgery distort confidential middle-east forgery surveillance distort 2010 isreal conspiracy isreal china deceit 2010 conspiracy china chronicle covert lie sabatoge clandestine russia isreal blackmail restricted isreal spy middle-east deceit isreal top-secret spy surveillance isreal bait restricted,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{S5D4-D9NR16ZZ-4581MOFQ},2010-07-15 06:36:00,JMB0308,PC-0814,Disconnect,6,3,,4,,,,,,,,,,
{T9C9-D4YK08DJ-4629CBLS},2010-07-15 06:53:00,JMB0308,PC-0814,Logoff,6,3,,2,,,,,,,,,,
{Q7F1-B0VV88ZH-8624ZCPM},2010-07-20 21:32:00,JMB0308,PC-0814,Logon,21,1,,1,,,,,,,,,,
{X7E0-J0OH95YP-7028VTXM},2010-07-20 23:13:00,JMB0308,PC-0814,Connect,23,1,,3,,,,,,,,,,
{J9O8-X3LJ03AK-7596QOND},2010-07-20 23:14:00,JMB0308,PC-0814,,23,1,,7,,,,,,,restricted middle-east spy surveillance blackmail sabatoge bait forgery top-secret bait report surveillance clandestine spy sabatoge restricted china top-secret sabatoge surveillance handler distort spy forgery isreal distort spy lie evade covert lie currency lie spy russia middle-east covert currency confidential isreal restricted surveillance distort china aisa europe report forgery europe bait lie,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php
{E8S3-Y4CH89UM-3550EAUP},2010-07-20 23:14:00,JMB0308,PC-0814,Disconnect,23,1,,4,,,,,,,,,,
{H1P6-D4LP76RF-9468RAWH},2010-07-21 01:46:00,JMB0308,PC-0814,Logoff,1,2,,2,,,,,,,,,,
