id,date,user,pc,activity,activity_binary,hour,dayofweek,activity_code,to,cc,bcc,from,size,attachments,content,content_clean,filename,url
{A7D4-B5QB84PF-5650OIIU},2010-11-18 11:22:24,HTH0007,PC-8851,logon,1.0,11,3,1,,,,,,,,,,
{C6J3-Z9FP96HB-0634CPJI},2011-05-12 07:02:00,HTH0007,PC-8851,logon,1.0,7,3,1,,,,,,,,,,
{F3W8-N8GM44TZ-3075VUPK},2011-03-17 07:35:00,SBN0866,PC-8714,logon,1.0,7,3,1,,,,,,,,,,
{H3Q7-S8EA31AE-7126LTDB},2010-02-16 07:49:00,SBN0866,PC-8714,logon,1.0,7,1,1,,,,,,,,,,
{P3J8-Z2KE88CS-7242FJCA},2010-01-21 07:46:00,SBN0866,PC-8714,logon,1.0,7,3,1,,,,,,,,,,
{S6H8-U5JW00LB-4279MBCO},2011-02-28 07:45:00,SBN0866,PC-8714,logon,1.0,7,0,1,,,,,,,,,,
{Z2H4-T7DB09WS-3411TJYS},2010-03-19 07:51:00,SBN0866,PC-8714,logon,1.0,7,4,1,,,,,,,,,,
{A9F4-R0RF95FK-9456DHOB},2010-12-03 16:41:10,SBK0161,PC-4124,logon,1.0,16,4,1,,,,,,,,,,
{A4R2-H2YO07RI-4209QHVV},2010-02-26 12:24:59,SBK0161,PC-5599,logon,1.0,12,4,1,,,,,,,,,,
{M6Y2-G0EG11IK-5024DEWP},2010-02-24 14:47:42,SBK0161,PC-5599,logon,1.0,14,2,1,,,,,,,,,,
{W5Z1-K9JE74GW-9832GGQN},2010-05-26 13:08:35,SBK0161,PC-5599,logon,1.0,13,2,1,,,,,,,,,,
{U3I1-G4MW36MW-7913HFJC},2010-08-13 13:23:04,SBK0161,PC-5599,logon,1.0,13,4,1,,,,,,,,,,
{P0N7-B8AQ57SE-1151UVLY},2010-04-18 12:26:04,NAF0326,PC-0384,logon,1.0,12,6,1,,,,,,,,,,
{Q6B0-O3BU55FY-1981GXDM},2010-10-11 07:37:00,NAF0326,PC-0384,logon,1.0,7,0,1,,,,,,,,,,
{K2Y7-I8UJ52XM-1338XHPO},2010-04-04 13:01:26,NAF0326,PC-0384,logon,1.0,13,6,1,,,,,,,,,,
{C0T5-D3LJ47RX-7940FGFD},2011-02-01 07:38:00,NAF0326,PC-0384,logon,1.0,7,1,1,,,,,,,,,,
{W7O9-V2PT25NJ-2781AUEW},2010-02-07 07:45:00,NAF0326,PC-0384,logon,1.0,7,6,1,,,,,,,,,,
{L3N5-O8KM91TR-8289ABAI},2010-06-07 08:19:00,FUM0015,PC-9208,logon,1.0,8,0,1,,,,,,,,,,
{M9R0-I5BF75EW-9705JHRK},2010-08-17 08:36:00,FUM0015,PC-9208,logon,1.0,8,1,1,,,,,,,,,,
{Y4Y3-V1MX77WL-8437TMZJ},2011-02-09 08:39:00,FUM0015,PC-9208,logon,1.0,8,2,1,,,,,,,,,,
{L5R9-E9OD31LK-9125CUUS},2010-10-28 08:20:00,FUM0015,PC-9208,logon,1.0,8,3,1,,,,,,,,,,
{H6R5-I1VY59EZ-3527WYZG},2011-04-08 08:32:00,FUM0015,PC-9208,logon,1.0,8,4,1,,,,,,,,,,
{J2U8-C9RF67GU-3981NHFO},2011-03-16 07:46:00,THR0873,PC-4804,logon,1.0,7,2,1,,,,,,,,,,
{K9O6-C1BZ79PE-0336BWQA},2010-02-17 07:42:00,THR0873,PC-4804,logon,1.0,7,2,1,,,,,,,,,,
{B5D1-O4QV53ZF-6222FHDJ},2010-01-22 07:36:00,THR0873,PC-4804,logon,1.0,7,4,1,,,,,,,,,,
{O4E9-I4RH63DF-9956NCVJ},2011-02-28 07:47:00,THR0873,PC-4804,logon,1.0,7,0,1,,,,,,,,,,
{L5N0-U1QC34DZ-0824LJBF},2010-03-19 07:47:00,THR0873,PC-4804,logon,1.0,7,4,1,,,,,,,,,,
{H6J8-Z0RV85MU-2387STLT},2010-06-07 07:50:00,BXJ0010,PC-2231,logon,1.0,7,0,1,,,,,,,,,,
{V0W3-A3CP60GR-8151QZQQ},2010-08-17 08:10:00,BXJ0010,PC-2231,logon,1.0,8,1,1,,,,,,,,,,
{I3O5-Y1KL60BT-0065DAIV},2011-02-09 08:04:00,BXJ0010,PC-2231,logon,1.0,8,2,1,,,,,,,,,,
{D8N4-N5UW26MI-5720WHMU},2010-10-28 07:45:00,BXJ0010,PC-2231,logon,1.0,7,3,1,,,,,,,,,,
{B2B2-U3EZ82ZL-8851DBLW},2011-04-08 08:04:00,BXJ0010,PC-2231,logon,1.0,8,4,1,,,,,,,,,,
{J7J1-V1IE64ZP-6420BPMJ},2010-02-11 07:31:00,JDB0169,PC-7502,logon,1.0,7,3,1,,,,,,,,,,
{C7G6-W4NI81HO-9629KQRU},2011-04-19 12:08:49,JDB0169,PC-7502,logon,1.0,12,1,1,,,,,,,,,,
{Z7S1-Q5BS73IX-2755KCTS},2010-03-10 07:44:00,JDB0169,PC-7502,logon,1.0,7,2,1,,,,,,,,,,
{E6M8-O1LG73TF-4468IYYB},2010-09-08 07:49:00,JDB0169,PC-7502,logon,1.0,7,2,1,,,,,,,,,,
{L8E5-Y7DB99WV-9970JCYN},2010-03-31 13:15:57,JDB0169,PC-7502,logon,1.0,13,2,1,,,,,,,,,,
{Q6T0-Q4YN90WO-0483EPXO},2010-02-09 07:52:00,ATE0869,PC-1313,logon,1.0,7,1,1,,,,,,,,,,
{A3P2-Z1SO75MA-6040ZGWA},2010-09-14 07:46:00,ATE0869,PC-1313,logon,1.0,7,1,1,,,,,,,,,,
{A2B9-D5KF43RD-9737EGID},2010-05-01 07:54:00,ATE0869,PC-1313,logon,1.0,7,5,1,,,,,,,,,,
{I3J5-C8RD77HH-5069LPOV},2010-05-19 07:40:00,ATE0869,PC-1313,logon,1.0,7,2,1,,,,,,,,,,
{X6R6-X2EW70YX-4626PBOS},2010-01-23 13:16:03,ATE0869,PC-1313,logon,1.0,13,5,1,,,,,,,,,,
{Z0O3-E2BY90LL-8070SFEK},2011-02-25 12:21:30,DLM0051,PC-0166,logon,1.0,12,4,1,,,,,,,,,,
{R4D8-F9MM90XK-8595DXDY},2010-12-27 07:01:00,DLM0051,PC-0166,logon,1.0,7,0,1,,,,,,,,,,
{S8I7-V4GM91HC-5608MZVG},2010-03-15 14:27:02,DLM0051,PC-4124,logon,1.0,14,0,1,,,,,,,,,,
{J4F4-X9TA53BJ-1429RMUV},2010-05-09 08:45:28,DLM0051,PC-4124,logon,1.0,8,6,1,,,,,,,,,,
{K1E7-C8CM23AT-7524NEZG},2010-08-20 07:00:00,DLM0051,PC-0166,logon,1.0,7,4,1,,,,,,,,,,
{M4F4-G8NN41AT-2152WRRH},2010-02-25 08:20:00,NAH0503,PC-8267,logon,1.0,8,3,1,,,,,,,,,,
{Z4V0-U5OE15WW-1242WZZE},2010-03-19 08:15:00,NAH0503,PC-8267,logon,1.0,8,4,1,,,,,,,,,,
{N5V2-R7YK82JC-1786EKJU},2010-02-06 08:13:00,NAH0503,PC-8267,logon,1.0,8,5,1,,,,,,,,,,
{R7B7-L5MT06YA-4884LCMM},2011-05-06 08:03:00,NAH0503,PC-8267,logon,1.0,8,4,1,,,,,,,,,,
{J5W6-L6LR13BJ-4473ZSRL},2010-11-12 08:18:00,NAH0503,PC-8267,logon,1.0,8,4,1,,,,,,,,,,
{K4I8-N0WY06GN-0637FMBS},2010-06-07 07:15:00,BTS0011,PC-1232,logon,1.0,7,0,1,,,,,,,,,,
{G0E5-V0EE50ZK-2026MJEZ},2010-08-17 07:30:00,BTS0011,PC-1232,logon,1.0,7,1,1,,,,,,,,,,
{Z6J2-U8MK60ED-3810KQOC},2011-02-09 07:32:00,BTS0011,PC-1232,logon,1.0,7,2,1,,,,,,,,,,
{M1F1-S3JH70ZT-4507PTLV},2010-10-28 07:23:00,BTS0011,PC-1232,logon,1.0,7,3,1,,,,,,,,,,
{D8H9-N1JS14SC-2298RLVT},2011-04-08 07:31:00,BTS0011,PC-1232,logon,1.0,7,4,1,,,,,,,,,,
{W7D9-J5TF65SA-5869EICC},2010-06-29 10:52:39,RZC0746,PC-7500,logon,1.0,10,1,1,,,,,,,,,,
{O4E5-C5OS70EG-3392OJIW},2011-04-14 11:32:35,RZC0746,PC-7500,logon,1.0,11,3,1,,,,,,,,,,
{L1P1-I3ZC47CT-1970LGFC},2010-01-19 10:16:35,RZC0746,PC-7500,logon,1.0,10,1,1,,,,,,,,,,
{L7A7-M6FT13XE-8758RZJE},2011-03-24 07:51:00,RZC0746,PC-7500,logon,1.0,7,3,1,,,,,,,,,,
{W2U1-N6VJ14OD-0994CTMD},2010-06-15 16:57:41,RZC0746,PC-4124,logon,1.0,16,1,1,,,,,,,,,,
{C8J6-S5MF00LL-9922MQFG},2011-03-08 07:15:00,TVS0050,PC-2174,logon,1.0,7,1,1,,,,,,,,,,
{N7C6-H3YH70JK-7472LJEX},2010-07-06 07:10:00,TVS0050,PC-2174,logon,1.0,7,1,1,,,,,,,,,,
{B7B8-V4KC96QX-7819FJEZ},2010-05-21 07:14:00,TVS0050,PC-2174,logon,1.0,7,4,1,,,,,,,,,,
{B0K0-F7TI19MK-7182DGYP},2010-07-29 22:33:03,TVS0050,PC-2174,logon,1.0,22,3,1,,,,,,,,,,
{R9E7-J1GT23JY-4430YEEF},2010-11-24 07:09:00,TVS0050,PC-2174,logon,1.0,7,2,1,,,,,,,,,,
{E8P7-V7BB84HA-0038PGFE},2010-06-07 07:32:00,DTT0076,PC-9973,logon,1.0,7,0,1,,,,,,,,,,
{V1S2-A3BT54BH-9156CKTN},2010-08-17 07:51:00,DTT0076,PC-9973,logon,1.0,7,1,1,,,,,,,,,,
{A7I2-O3NE87VU-2271OMSV},2011-02-09 07:51:00,DTT0076,PC-9973,logon,1.0,7,2,1,,,,,,,,,,
{C1R3-P3JT83XV-3073NUNW},2010-10-28 07:35:00,DTT0076,PC-9973,logon,1.0,7,3,1,,,,,,,,,,
{F0M0-V1CQ00DW-1783FPKG},2011-04-08 07:50:00,DTT0076,PC-9973,logon,1.0,7,4,1,,,,,,,,,,
{Q8B7-A3TG73EW-7341AXAQ},2010-10-13 08:00:00,MSS0001,PC-3952,logon,1.0,8,2,1,,,,,,,,,,
{Z6A6-W7CR83WI-6583ZOCO},2010-11-02 12:51:15,MSS0001,PC-3952,logon,1.0,12,1,1,,,,,,,,,,
{S1B9-C4KL74NY-1575HRRX},2010-05-17 13:25:48,MSS0001,PC-3952,logon,1.0,13,0,1,,,,,,,,,,
{J3M0-B5OT54MS-1266YWCA},2011-05-11 12:34:12,MSS0001,PC-3952,logon,1.0,12,2,1,,,,,,,,,,
{O8J2-C1CQ86JK-5261BIBC},2010-04-22 08:00:00,MSS0001,PC-3952,logon,1.0,8,3,1,,,,,,,,,,
{Y8U6-W3SI16QX-0757QSXP},2010-01-18 23:17:12,AJF0370,PC-4024,logon,1.0,23,0,1,,,,,,,,,,
{S9O9-S4BH89ZU-9467OWIR},2010-09-23 13:36:53,AJF0370,PC-8651,logon,1.0,13,3,1,,,,,,,,,,
{H9F8-F7QP03XM-0603BMQD},2010-08-24 08:21:00,AJF0370,PC-8651,logon,1.0,8,1,1,,,,,,,,,,
{W7N3-L6TZ13OU-1442VYEQ},2011-04-25 13:33:53,AJF0370,PC-8651,logon,1.0,13,0,1,,,,,,,,,,
{B9T8-H4GW97MU-8588MYVP},2010-08-12 08:19:00,AJF0370,PC-8651,logon,1.0,8,3,1,,,,,,,,,,
{X5V4-M0ON94NT-1605FXHI},2010-09-24 08:10:00,QRM0739,PC-7343,logon,1.0,8,4,1,,,,,,,,,,
{J0X4-P3FE46MW-5109NQLL},2010-02-18 07:49:00,QRM0739,PC-7343,logon,1.0,7,3,1,,,,,,,,,,
{Z9R7-Q4UT76UE-5254NRBS},2010-01-25 07:59:00,QRM0739,PC-7343,logon,1.0,7,0,1,,,,,,,,,,
{D1A2-L9OA70VK-4648JZWG},2011-02-28 08:02:00,QRM0739,PC-7343,logon,1.0,8,0,1,,,,,,,,,,
{F0X0-C3SQ70NV-9988TDWM},2010-03-19 08:11:00,QRM0739,PC-7343,logon,1.0,8,4,1,,,,,,,,,,
{F9M7-W1OZ44FM-6114VWHC},2010-06-07 07:40:00,AMM0014,PC-7052,logon,1.0,7,0,1,,,,,,,,,,
{F6V2-V3PF47GK-5937TBJZ},2010-08-17 07:45:00,AMM0014,PC-7052,logon,1.0,7,1,1,,,,,,,,,,
{T6M8-D2ZR26AV-8935KMFW},2011-02-09 07:45:00,AMM0014,PC-7052,logon,1.0,7,2,1,,,,,,,,,,
{M4V7-J7OK31YC-1626FTBX},2010-10-28 07:42:00,AMM0014,PC-7052,logon,1.0,7,3,1,,,,,,,,,,
{C9D6-V7RG81GZ-0347WVTI},2011-04-08 07:48:00,AMM0014,PC-7052,logon,1.0,7,4,1,,,,,,,,,,
{G7A9-X9KC37MZ-7558OSAR},2010-02-25 10:19:51,LBH0942,PC-3640,logon,1.0,10,3,1,,,,,,,,,,
{M7H4-H0EI82LO-2900UALX},2010-09-28 07:15:00,LBH0942,PC-3640,logon,1.0,7,1,1,,,,,,,,,,
{Z9Q5-P8RH86KO-9300GVUD},2011-05-05 07:16:00,LBH0942,PC-3640,logon,1.0,7,3,1,,,,,,,,,,
{M3U1-Z9DW89VS-9704XUXY},2010-09-20 07:11:00,LBH0942,PC-3640,logon,1.0,7,0,1,,,,,,,,,,
{S6Y6-C6XQ30FT-6671KWVP},2011-02-21 07:02:00,LBH0942,PC-3640,logon,1.0,7,0,1,,,,,,,,,,
{G1D3-N8LU94XP-7013GQJM},2010-02-12 07:36:00,NWK0215,PC-8370,logon,1.0,7,4,1,,,,,,,,,,
{A8B9-E9OW41UW-7839ONSG},2010-09-20 07:49:00,NWK0215,PC-8370,logon,1.0,7,0,1,,,,,,,,,,
{E6B3-R3XC93SG-6472GJBG},2010-05-01 07:35:00,NWK0215,PC-8370,logon,1.0,7,5,1,,,,,,,,,,
{R7V9-U7DT36QG-1870KMEZ},2010-05-08 07:42:00,NWK0215,PC-8370,logon,1.0,7,5,1,,,,,,,,,,
{K9I7-L9EO16BY-4046FMCT},2011-01-21 10:53:41,NWK0215,PC-8370,logon,1.0,10,4,1,,,,,,,,,,
{S1H1-J4RW71RG-0326QNGE},2010-06-07 08:17:00,SLB0049,PC-6402,logon,1.0,8,0,1,,,,,,,,,,
{T3W2-N9DQ22XH-6418MDRJ},2010-08-17 08:38:00,SLB0049,PC-6402,logon,1.0,8,1,1,,,,,,,,,,
{Q4L5-G4KS40LA-8976RYRD},2011-02-09 08:32:00,SLB0049,PC-6402,logon,1.0,8,2,1,,,,,,,,,,
{N3G9-M2AD48HY-7726SBZS},2010-10-28 08:18:00,SLB0049,PC-6402,logon,1.0,8,3,1,,,,,,,,,,
{R4V0-U0BB21HF-8591RKUU},2011-04-08 08:38:00,SLB0049,PC-6402,logon,1.0,8,4,1,,,,,,,,,,
{L6Z7-Q2BK85AD-9356IXFJ},2010-11-08 09:02:00,RHY0079,PC-1896,logon,1.0,9,0,1,,,,,,,,,,
{G4F4-T8SA72BV-9170JJSF},2010-03-01 09:03:00,RHY0079,PC-1896,logon,1.0,9,0,1,,,,,,,,,,
{Y4B2-A8CV55BF-3659HKFR},2011-01-04 09:18:00,RHY0079,PC-1896,logon,1.0,9,1,1,,,,,,,,,,
{Z3G9-K6EM27CL-4864RSTS},2011-02-25 09:18:00,RHY0079,PC-1896,logon,1.0,9,4,1,,,,,,,,,,
{K5N1-E0UZ79EX-5681XJLH},2010-03-18 17:22:04,RHY0079,PC-4124,logon,1.0,17,3,1,,,,,,,,,,
{M5Z8-I0KM86JR-0884NNOU},2010-11-29 07:48:00,KKW0879,PC-2531,logon,1.0,7,0,1,,,,,,,,,,
{M1O3-Q1MB55FL-8492DWGC},2010-02-16 07:42:00,KKW0879,PC-2531,logon,1.0,7,1,1,,,,,,,,,,
{P2K2-V0ME88PS-3657JUYY},2011-01-04 07:41:00,KKW0879,PC-2531,logon,1.0,7,1,1,,,,,,,,,,
{P1U0-X0BA67OG-0737NUEU},2011-03-18 07:40:00,KKW0879,PC-2531,logon,1.0,7,4,1,,,,,,,,,,
{Q3V6-A1LW36YS-6055FGND},2010-06-18 07:45:00,KKW0879,PC-2531,logon,1.0,7,4,1,,,,,,,,,,
{V1O7-B4XA99ID-4807YYTF},2011-02-16 12:27:20,GKO0078,PC-4233,logon,1.0,12,2,1,,,,,,,,,,
{L0E9-I1LW30YM-8063WRJK},2010-12-30 13:01:04,GKO0078,PC-4233,logon,1.0,13,3,1,,,,,,,,,,
{B4U9-M5CG63WL-0215WILF},2011-04-12 11:37:44,GKO0078,PC-4233,logon,1.0,11,1,1,,,,,,,,,,
{Z2Q1-C3GY54LC-9588VXDU},2010-08-20 07:16:00,GKO0078,PC-4233,logon,1.0,7,4,1,,,,,,,,,,
{F9K2-W5WQ80SU-9521RQVN},2010-04-27 07:01:00,GKO0078,PC-4233,logon,1.0,7,1,1,,,,,,,,,,
{L9U3-J5HE42XE-7476PKJT},2010-06-02 13:28:05,GZC0735,PC-4124,logon,1.0,13,2,1,,,,,,,,,,
{F8W3-Z3FK24RY-8471QTJH},2010-12-21 12:01:03,GZC0735,PC-8219,logon,1.0,12,1,1,,,,,,,,,,
{W2U2-I6HO68OT-6449KDAM},2010-05-21 11:59:19,GZC0735,PC-4124,logon,1.0,11,4,1,,,,,,,,,,
{N8S0-X3HT10LU-3872HGQY},2010-06-28 14:23:16,GZC0735,PC-4124,logon,1.0,14,0,1,,,,,,,,,,
{T6C8-M0HN87RQ-4635THGU},2010-11-29 07:51:00,GZC0735,PC-8219,logon,1.0,7,0,1,,,,,,,,,,
{C3A5-P5UI75TY-9251UXWH},2011-03-22 12:06:08,JBD0616,PC-1479,logon,1.0,12,1,1,,,,,,,,,,
{C9V4-C5HA48IN-6776MLDZ},2010-07-22 07:57:00,JBD0616,PC-1479,logon,1.0,7,3,1,,,,,,,,,,
{H3B4-O7MQ24NW-7325GLBM},2010-08-12 07:48:00,JBD0616,PC-1479,logon,1.0,7,3,1,,,,,,,,,,
{T2H8-S7YJ05CC-1327EUEQ},2011-04-12 12:20:31,JBD0616,PC-1479,logon,1.0,12,1,1,,,,,,,,,,
{X5R6-S4QH92MX-5528VBWV},2010-05-12 13:43:13,JBD0616,PC-1479,logon,1.0,13,2,1,,,,,,,,,,
{P5K0-X7KP34ZK-0389JUMG},2010-06-07 07:26:00,AMD0077,PC-0330,logon,1.0,7,0,1,,,,,,,,,,
{T5K6-L8UU91LG-4843BHZH},2010-08-17 07:40:00,AMD0077,PC-0330,logon,1.0,7,1,1,,,,,,,,,,
{S4M8-I9EJ57OW-1688UJFT},2011-02-09 07:38:00,AMD0077,PC-0330,logon,1.0,7,2,1,,,,,,,,,,
{A9F5-C0UY53BS-4805KSGJ},2010-10-28 07:21:00,AMD0077,PC-0330,logon,1.0,7,3,1,,,,,,,,,,
{D9C9-V5LF08IE-3452LQKJ},2011-04-08 07:31:00,AMD0077,PC-0330,logon,1.0,7,4,1,,,,,,,,,,
{N6Z9-X1TY46WD-1126EAQF},2010-06-07 07:38:00,WKF0012,PC-9966,logon,1.0,7,0,1,,,,,,,,,,
{Y9E1-D7KF38OT-3572MPAK},2010-08-17 07:45:00,WKF0012,PC-9966,logon,1.0,7,1,1,,,,,,,,,,
{J3W8-N9QZ59JD-5287THEQ},2011-02-09 07:47:00,WKF0012,PC-9966,logon,1.0,7,2,1,,,,,,,,,,
{A6E1-D8CB76OK-7781XDOV},2010-10-28 07:36:00,WKF0012,PC-9966,logon,1.0,7,3,1,,,,,,,,,,
{B4T3-Y3RV37MZ-4378QSTB},2011-04-08 07:45:00,WKF0012,PC-9966,logon,1.0,7,4,1,,,,,,,,,,
{V1N3-S3LO22YC-7249ZGKT},2010-06-07 07:58:00,VIA0063,PC-2684,logon,1.0,7,0,1,,,,,,,,,,
{C0E4-B4HL49BB-5861AIBK},2010-08-17 08:00:00,VIA0063,PC-2684,logon,1.0,8,1,1,,,,,,,,,,
{W0U3-T7PV72NN-4439DUWG},2011-02-09 08:01:00,VIA0063,PC-2684,logon,1.0,8,2,1,,,,,,,,,,
{E5Q3-E1JT33LN-2251GIPQ},2010-10-28 07:58:00,VIA0063,PC-2684,logon,1.0,7,3,1,,,,,,,,,,
{H6Y0-B2TN17FS-0808ISLG},2011-04-08 08:02:00,VIA0063,PC-2684,logon,1.0,8,4,1,,,,,,,,,,
{V3O3-X3UE57QS-4341KYJY},2010-08-17 07:58:00,HRB0351,PC-0697,logon,1.0,7,1,1,,,,,,,,,,
{D3P9-S5SO16ZS-5553RYRW},2010-12-22 07:45:00,HRB0351,PC-0697,logon,1.0,7,2,1,,,,,,,,,,
{I4X4-K0EE62GB-5535RATC},2011-02-11 08:09:00,HRB0351,PC-0697,logon,1.0,8,4,1,,,,,,,,,,
{A0N5-C5ZV58TP-2749KEDT},2010-01-26 08:04:00,HRB0351,PC-0697,logon,1.0,8,1,1,,,,,,,,,,
{R4W6-O5OJ46IL-7535JBPH},2010-10-29 17:37:54,HRB0351,PC-8908,logon,1.0,17,4,1,,,,,,,,,,
{N7O2-X7RS97MC-0875SPVR},2010-10-13 07:00:00,LRR0148,PC-4275,logon,1.0,7,2,1,,,,,,,,,,
{Y5X7-A3WM74BG-9590OCOF},2011-05-03 06:50:00,LRR0148,PC-4275,logon,1.0,6,1,1,,,,,,,,,,
{T1A0-Q2HS83IF-1534BFVH},2010-01-19 11:57:26,LRR0148,PC-4275,logon,1.0,11,1,1,,,,,,,,,,
{R4S9-V8QJ44ZE-0608TOOG},2010-11-22 09:39:37,LRR0148,PC-4275,logon,1.0,9,0,1,,,,,,,,,,
{E7Y0-B0KW53QQ-8386EPIY},2010-02-26 11:59:10,LRR0148,PC-4275,logon,1.0,11,4,1,,,,,,,,,,
{S8Y9-B5AI93QP-7963VNGL},2011-02-24 10:36:49,CMB0912,PC-6539,logon,1.0,10,3,1,,,,,,,,,,
{Z7H1-N1XI14RU-5324YVDK},2010-12-18 07:13:00,CMB0912,PC-6539,logon,1.0,7,5,1,,,,,,,,,,
{U0J3-Z0GG93KR-4739FDXD},2010-03-08 12:41:11,CMB0912,PC-4124,logon,1.0,12,0,1,,,,,,,,,,
{Q6N9-X5BR09YN-4208UDTX},2010-04-27 07:05:57,CMB0912,PC-6779,logon,1.0,7,1,1,,,,,,,,,,
{W9V8-P0UK94QC-7348OMNT},2010-08-16 12:27:25,CMB0912,PC-6539,logon,1.0,12,0,1,,,,,,,,,,
{R7L4-U6YY06HK-4636FILN},2010-06-07 08:30:00,HCS0003,PC-3054,logon,1.0,8,0,1,,,,,,,,,,
{N7V8-X2ML00DO-9174KFEW},2010-08-17 08:18:00,HCS0003,PC-3054,logon,1.0,8,1,1,,,,,,,,,,
{M1L7-E2YD74OE-2905HGHR},2011-02-09 08:33:00,HCS0003,PC-3054,logon,1.0,8,2,1,,,,,,,,,,
{Q0G5-A4RG72PV-3634UOVA},2010-10-28 08:25:00,HCS0003,PC-3054,logon,1.0,8,3,1,,,,,,,,,,
{E2B1-M6HW85KA-9309NAOF},2011-04-08 08:37:00,HCS0003,PC-3054,logon,1.0,8,4,1,,,,,,,,,,
{W4B0-G8TP18JA-5526SXWR},2010-03-25 03:28:55,WKD0013,PC-1837,logon,1.0,3,3,1,,,,,,,,,,
{T9H4-C9VO72CO-8046OPOK},2010-09-29 09:12:00,WKD0013,PC-1837,logon,1.0,9,2,1,,,,,,,,,,
{U1I1-J2PO89GV-6488YRDL},2010-11-12 09:09:00,WKD0013,PC-1837,logon,1.0,9,4,1,,,,,,,,,,
{C4X6-M9GS26GB-2103CUZZ},2010-02-12 09:19:00,WKD0013,PC-1837,logon,1.0,9,4,1,,,,,,,,,,
{G1Q8-N0FM37EY-6873GDCH},2010-02-24 09:20:00,WKD0013,PC-1837,logon,1.0,9,2,1,,,,,,,,,,
{R8W4-M2HC44BB-9334NWEK},2010-06-07 07:51:00,CNE0352,PC-2766,logon,1.0,7,0,1,,,,,,,,,,
{Y8T3-Q6VA56VD-5194PBLL},2010-08-17 08:00:00,CNE0352,PC-2766,logon,1.0,8,1,1,,,,,,,,,,
{Z2A7-V1OK14VF-8940WCAR},2011-02-09 08:07:00,CNE0352,PC-2766,logon,1.0,8,2,1,,,,,,,,,,
{B2B8-L5SA28ZJ-4976MCTW},2010-10-28 07:50:00,CNE0352,PC-2766,logon,1.0,7,3,1,,,,,,,,,,
