id,date,user,pc,activity,hour,dayofweek,activity_binary,activity_code,to,cc,bcc,from,size,attachments,content,content_clean,filename,url,Unnamed: 19
{J2T7-U6SE78DZ-5070KUVM},2010-10-08 20:03:00,EHD0584,PC-8669,Logon,20,4,,1,,,,,,,,,,,
{N4V7-T6DM10CZ-1408UVRB},2010-10-08 20:09:00,EHD0584,PC-8669,Connect,20,4,,3,,,,,,,,,,,
{P6S8-A9BY56ZG-9031XFHB},2010-10-08 20:09:00,EHD0584,PC-8669,,20,4,,7,,,,,,,europe bait middle-east surveillance middle-east china distort blackmail chronicle lie confidential sabatoge top-secret evade confidential report surveillance top-secret 2010 distort middle-east 2010 handler russia lie distort chronicle overthrow clandestine restricted currency forgery currency evade deceit currency deceit lie restricted sabatoge russia sabatoge middle-east russia report subterfuge spy lie currency deceit blackmail middle-east lie isreal bait aisa middle-east currency restricted deceit restricted,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{H1T3-B8NZ03EV-8764TPFM},2010-10-08 20:09:00,EHD0584,PC-8669,Disconnect,20,4,,4,,,,,,,,,,,
{R9C2-M3JM56IB-6636PACE},2010-10-08 22:26:00,EHD0584,PC-8669,Logoff,22,4,,2,,,,,,,,,,,
{L1A0-X3OD03QV-9450KGJI},2010-11-25 06:35:00,FTM0406,PC-1786,Logon,6,3,,1,,,,,,,,,,,
{Y5K5-C6AF28XA-5238BVTN},2010-11-25 06:45:00,FTM0406,PC-1786,Connect,6,3,,3,,,,,,,,,,,
{N5G9-W9SS50SL-9399ZFUG},2010-11-25 06:45:00,FTM0406,PC-1786,,6,3,,7,,,,,,,surveillance middle-east currency china sabatoge conspiracy handler russia sabatoge evade isreal distort russia evade middle-east conspiracy distort restricted clandestine evade restricted overthrow chronicle bait bait europe bait lie spy spy sabatoge confidential top-secret isreal currency bait top-secret report forgery currency covert,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{S0F7-W2LZ64WJ-4108ZIKN},2010-11-25 06:46:00,FTM0406,PC-1786,Disconnect,6,3,,4,,,,,,,,,,,
{M4Y1-P1MF23RY-1605UHAS},2010-11-25 06:51:00,FTM0406,PC-1786,Logoff,6,3,,2,,,,,,,,,,,
{N8T8-Z9EI47NB-9260BFEF},2010-12-02 00:09:00,FTM0406,PC-1786,Logon,0,3,,1,,,,,,,,,,,
{G9Y0-H8NJ46SV-5329KZVC},2010-12-02 00:28:00,FTM0406,PC-1786,Connect,0,3,,3,,,,,,,,,,,
{I9T8-Q9JX59RJ-2020STRW},2010-12-02 00:32:00,FTM0406,PC-1786,,0,3,,7,,,,,,,spy clandestine lie spy forgery top-secret spy currency covert forgery confidential restricted forgery aisa surveillance lie forgery surveillance middle-east forgery middle-east middle-east evade spy aisa evade overthrow isreal middle-east surveillance currency restricted clandestine report sabatoge middle-east restricted confidential confidential currency currency surveillance top-secret europe forgery forgery report report currency lie sabatoge report spy currency lie restricted subterfuge covert top-secret top-secret blackmail conspiracy sabatoge lie aisa russia evade,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{F7R0-U9WX71GE-4408ULZT},2010-12-02 00:33:00,FTM0406,PC-1786,Disconnect,0,3,,4,,,,,,,,,,,
{U8W6-U4LU66CA-6523JFDJ},2010-12-02 00:35:00,FTM0406,PC-1786,Logoff,0,3,,2,,,,,,,,,,,
{K1U5-F9CH30QV-1305BZYB},2010-11-09 06:28:00,GHL0460,PC-6255,Logon,6,1,,1,,,,,,,,,,,
{Q3Y2-A0PA77RM-7969SUXX},2010-11-09 06:44:00,GHL0460,PC-6255,Connect,6,1,,3,,,,,,,,,,,
{L9Q2-W2ZZ13SO-2268DHYC},2010-11-09 06:55:00,GHL0460,PC-6255,,6,1,,7,,,,,,,restricted spy spy distort forgery top-secret covert conspiracy deceit clandestine lie report blackmail deceit middle-east europe conspiracy spy surveillance 2010 forgery overthrow spy sabatoge middle-east distort clandestine surveillance bait covert chronicle handler restricted deceit currency spy bait deceit bait evade surveillance evade lie sabatoge handler middle-east restricted europe aisa,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{R6O0-J0DG04SW-9105GYSQ},2010-11-09 07:06:00,GHL0460,PC-6255,Disconnect,7,1,,4,,,,,,,,,,,
{C7D3-G4BR41IX-7770RREP},2010-11-09 07:08:00,GHL0460,PC-6255,Logoff,7,1,,2,,,,,,,,,,,
{Z5C5-M9ZL74EP-7606GCQK},2010-11-19 05:53:00,HJB0742,PC-5635,Logon,5,4,,1,,,,,,,,,,,
{C6T4-W7ZL07RX-2158EZAB},2010-11-19 06:46:00,HJB0742,PC-5635,Connect,6,4,,3,,,,,,,,,,,
{G1J9-S4AW94HY-5090RVSN},2010-11-19 06:49:00,HJB0742,PC-5635,,6,4,,7,,,,,,,china russia restricted surveillance top-secret distort covert sabatoge lie china spy report confidential top-secret top-secret lie top-secret 2010 subterfuge lie distort covert currency spy europe top-secret currency russia covert evade restricted subterfuge middle-east subterfuge evade middle-east clandestine evade europe lie evade forgery covert confidential forgery europe surveillance surveillance confidential top-secret sabatoge confidential lie restricted forgery china isreal europe distort forgery,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{K9Z3-G3FA25SY-1631IHND},2010-11-19 06:52:00,HJB0742,PC-5635,Disconnect,6,4,,4,,,,,,,,,,,
{K8P2-R8KH44KS-3470THEM},2010-11-19 06:59:00,HJB0742,PC-5635,Logoff,6,4,,2,,,,,,,,,,,
{H2Y6-W3IZ06JP-7508RSLL},2010-11-24 23:55:00,HJB0742,PC-5635,Logon,23,2,,1,,,,,,,,,,,
{C9G1-A2ZL51CG-2028NFTY},2010-11-25 04:09:00,HJB0742,PC-5635,Connect,4,3,,3,,,,,,,,,,,
{Q1E9-K4DF86UL-5984FBNL},2010-11-25 04:27:00,HJB0742,PC-5635,,4,3,,7,,,,,,,top-secret blackmail covert restricted bait spy top-secret middle-east sabatoge spy 2010 spy distort covert subterfuge lie bait middle-east overthrow middle-east handler forgery middle-east spy sabatoge distort evade europe clandestine lie middle-east restricted blackmail restricted surveillance distort europe confidential russia forgery sabatoge distort restricted lie isreal distort spy 2010 surveillance china sabatoge middle-east restricted surveillance overthrow bait confidential lie 2010 report subterfuge sabatoge restricted distort chronicle conspiracy surveillance forgery europe,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{H4G9-A4HA94VV-0162RZGA},2010-11-25 04:49:00,HJB0742,PC-5635,Disconnect,4,3,,4,,,,,,,,,,,
{W6X9-F3DB11HD-3264ILKU},2010-11-25 04:51:00,HJB0742,PC-5635,Logoff,4,3,,2,,,,,,,,,,,
{N9K8-B0VD20AP-3708XHCB},2010-07-14 00:56:00,JMB0308,PC-0814,Logon,0,2,,1,,,,,,,,,,,
{N3N6-O0HT90BA-1989RMIT},2010-07-14 01:19:00,JMB0308,PC-0814,Connect,1,2,,3,,,,,,,,,,,
{K9O4-B3NA42RC-3992XMRA},2010-07-14 01:48:00,JMB0308,PC-0814,,1,2,,7,,,,,,,middle-east confidential distort deceit middle-east currency top-secret conspiracy overthrow currency blackmail currency bait europe currency sabatoge surveillance clandestine evade blackmail bait evade spy surveillance spy covert chronicle surveillance top-secret isreal aisa subterfuge forgery isreal top-secret currency surveillance restricted covert conspiracy surveillance bait isreal spy,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{E6V2-P4QB20EX-5172UZXF},2010-07-14 02:12:00,JMB0308,PC-0814,Disconnect,2,2,,4,,,,,,,,,,,
{I3Z9-X1RR94CQ-9457XWJM},2010-07-14 03:56:00,JMB0308,PC-0814,Logoff,3,2,,2,,,,,,,,,,,
{J2Q3-S8VK14JT-0978ZYEN},2010-07-15 03:56:00,JMB0308,PC-0814,Logon,3,3,,1,,,,,,,,,,,
{N4L4-X8HB31YA-6276NWDU},2010-07-15 05:21:00,JMB0308,PC-0814,Connect,5,3,,3,,,,,,,,,,,
{H8S9-S7UO99AT-4612MJCD},2010-07-15 06:22:00,JMB0308,PC-0814,,6,3,,7,,,,,,,middle-east sabatoge distort conspiracy spy middle-east forgery distort confidential middle-east forgery surveillance distort 2010 isreal conspiracy isreal china deceit 2010 conspiracy china chronicle covert lie sabatoge clandestine russia isreal blackmail restricted isreal spy middle-east deceit isreal top-secret spy surveillance isreal bait restricted,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{S5D4-D9NR16ZZ-4581MOFQ},2010-07-15 06:36:00,JMB0308,PC-0814,Disconnect,6,3,,4,,,,,,,,,,,
{T9C9-D4YK08DJ-4629CBLS},2010-07-15 06:53:00,JMB0308,PC-0814,Logoff,6,3,,2,,,,,,,,,,,
{Q7F1-B0VV88ZH-8624ZCPM},2010-07-20 21:32:00,JMB0308,PC-0814,Logon,21,1,,1,,,,,,,,,,,
{X7E0-J0OH95YP-7028VTXM},2010-07-20 23:13:00,JMB0308,PC-0814,Connect,23,1,,3,,,,,,,,,,,
{J9O8-X3LJ03AK-7596QOND},2010-07-20 23:14:00,JMB0308,PC-0814,,23,1,,7,,,,,,,restricted middle-east spy surveillance blackmail sabatoge bait forgery top-secret bait report surveillance clandestine spy sabatoge restricted china top-secret sabatoge surveillance handler distort spy forgery isreal distort spy lie evade covert lie currency lie spy russia middle-east covert currency confidential isreal restricted surveillance distort china aisa europe report forgery europe bait lie,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{E8S3-Y4CH89UM-3550EAUP},2010-07-20 23:14:00,JMB0308,PC-0814,Disconnect,23,1,,4,,,,,,,,,,,
{H1P6-D4LP76RF-9468RAWH},2010-07-21 01:46:00,JMB0308,PC-0814,Logoff,1,2,,2,,,,,,,,,,,
{O0O5-K8PS89TF-2737TESN},2010-07-13 20:04:00,RKD0604,PC-9379,Logon,20,1,,1,,,,,,,,,,,
{U2A2-K5UV96DW-1786RJHQ},2010-07-13 20:59:00,RKD0604,PC-9379,Connect,20,1,,3,,,,,,,,,,,
{A9S6-H6RM85XL-1447KFQN},2010-07-13 21:05:00,RKD0604,PC-9379,,21,1,,7,,,,,,,evade spy top-secret evade top-secret europe lie chronicle sabatoge confidential report europe bait chronicle report russia sabatoge lie forgery 2010 lie deceit forgery overthrow confidential overthrow chronicle bait top-secret sabatoge sabatoge top-secret spy russia 2010 forgery top-secret report evade bait spy overthrow restricted conspiracy confidential isreal aisa surveillance russia distort spy covert russia overthrow spy china,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{T8X1-F3BF45QK-7019GMQY},2010-07-13 21:08:00,RKD0604,PC-9379,Disconnect,21,1,,4,,,,,,,,,,,
{J9Z4-Q6JH47TW-3414PSYV},2010-07-14 06:35:00,RKD0604,PC-9379,Logoff,6,2,,2,,,,,,,,,,,
{T2K5-J1DH07LT-1001DNNJ},2010-07-20 00:59:00,RKD0604,PC-9379,Logon,0,1,,1,,,,,,,,,,,
{Y5P9-T9XZ63DH-2197NQHW},2010-07-20 03:10:00,RKD0604,PC-9379,Connect,3,1,,3,,,,,,,,,,,
{V2A0-K2QI17TY-9117EZXD},2010-07-20 03:18:00,RKD0604,PC-9379,,3,1,,7,,,,,,,surveillance isreal handler top-secret lie lie russia report bait surveillance isreal spy report lie 2010 aisa top-secret distort restricted top-secret top-secret restricted sabatoge surveillance spy clandestine china top-secret europe top-secret evade middle-east report,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{D4X5-E4OR78FJ-7133JDAG},2010-07-20 03:30:00,RKD0604,PC-9379,Disconnect,3,1,,4,,,,,,,,,,,
{Z7K6-U2FK63XM-6557ANKS},2010-07-20 03:36:00,RKD0604,PC-9379,Logoff,3,1,,2,,,,,,,,,,,
{A4N8-L7CB53MP-7231EGQV},2010-10-23 02:55:00,TAP0551,PC-7623,Logon,2,5,,1,,,,,,,,,,,
{Y4M9-W9UP04TT-6557WXBK},2010-10-23 04:51:00,TAP0551,PC-7623,Connect,4,5,,3,,,,,,,,,,,
{Z3D8-G6RF94ZE-9439PMNH},2010-10-23 04:53:00,TAP0551,PC-7623,,4,5,,7,,,,,,,europe handler report europe confidential spy lie top-secret report middle-east deceit covert sabatoge spy covert spy china bait isreal top-secret deceit evade clandestine conspiracy conspiracy europe blackmail 2010 lie russia report deceit surveillance chronicle covert deceit forgery covert surveillance restricted confidential covert restricted restricted,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{Z5F2-A0SU30LP-8630HIBI},2010-10-23 05:21:00,TAP0551,PC-7623,Disconnect,5,5,,4,,,,,,,,,,,
{R0N9-C3CD80RL-4409BWBL},2010-10-23 05:38:00,TAP0551,PC-7623,Logoff,5,5,,2,,,,,,,,,,,
{O9Z8-S1HT88LD-3619CMWD},2010-10-29 04:38:00,TAP0551,PC-7623,Logon,4,4,,1,,,,,,,,,,,
{W2E6-A2AC28XV-5980VDLA},2010-10-29 05:23:00,TAP0551,PC-7623,Connect,5,4,,3,,,,,,,,,,,
{J5P9-J2SC89BN-4558PHIX},2010-10-29 05:40:00,TAP0551,PC-7623,,5,4,,7,,,,,,,chronicle 2010 spy surveillance lie lie middle-east russia spy currency overthrow blackmail middle-east sabatoge overthrow restricted isreal russia russia forgery spy lie deceit top-secret europe isreal subterfuge conspiracy europe sabatoge currency handler spy russia restricted confidential handler isreal clandestine forgery europe china surveillance deceit distort overthrow clandestine lie sabatoge surveillance aisa lie subterfuge russia isreal report,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{K5E6-B7OE11ZA-6161HSXQ},2010-10-29 05:44:00,TAP0551,PC-7623,Disconnect,5,4,,4,,,,,,,,,,,
{A9B7-A5IZ97SH-6594DFXT},2010-10-29 05:56:00,TAP0551,PC-7623,Logoff,5,4,,2,,,,,,,,,,,
{U1Q4-I9PX02PE-8712XJDX},2011-02-24 19:49:00,WDD0366,PC-0155,Logon,19,3,,1,,,,,,,,,,,
{Q6W3-A2AY45RM-4749NTDA},2011-02-24 22:07:00,WDD0366,PC-0155,Connect,22,3,,3,,,,,,,,,,,
{S3I7-R3CN14RD-1922CYQD},2011-02-24 22:29:00,WDD0366,PC-0155,,22,3,,7,,,,,,,chronicle conspiracy currency distort top-secret report restricted report isreal subterfuge restricted report aisa top-secret evade bait confidential surveillance surveillance 2010 handler lie confidential evade top-secret middle-east isreal,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{J3N5-J1IG44ZN-4509ZXOG},2011-02-24 22:31:00,WDD0366,PC-0155,Disconnect,22,3,,4,,,,,,,,,,,
{V5E4-F1JY53FG-8030MANZ},2011-02-24 23:11:00,WDD0366,PC-0155,Logoff,23,3,,2,,,,,,,,,,,
{N6Q7-T6VL79UV-1510CSBB},2011-03-02 20:10:00,WDD0366,PC-0155,Logon,20,2,,1,,,,,,,,,,,
{X7H8-O1XF46IF-5776EMQY},2011-03-02 22:24:00,WDD0366,PC-0155,Connect,22,2,,3,,,,,,,,,,,
{Z6T2-D1YN64BI-8241XHUK},2011-03-02 22:33:00,WDD0366,PC-0155,,22,2,,7,,,,,,,isreal russia surveillance restricted aisa china aisa overthrow covert evade covert europe europe russia subterfuge isreal surveillance middle-east forgery forgery spy isreal distort lie evade restricted bait evade lie report spy 2010 deceit covert surveillance clandestine covert restricted covert sabatoge sabatoge restricted china evade restricted europe clandestine lie europe 2010 overthrow confidential confidential bait covert,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{V1J4-H7VU91AP-9237YQMG},2011-03-02 22:36:00,WDD0366,PC-0155,Disconnect,22,2,,4,,,,,,,,,,,
{M3U0-O3RQ92WT-9268SSXD},2011-03-03 01:01:00,WDD0366,PC-0155,Logoff,1,3,,2,,,,,,,,,,,
{U7L9-T8CT84CW-7913EGCJ},2010-09-20 23:52:00,MCF0600,PC-8790,Logon,23,0,,1,,,,,,,,,,,
{M7Z2-C5JP08AI-9919DWZS},2010-09-20 23:54:00,MCF0600,PC-8790,Connect,23,0,,3,,,,,,,,,,,
{B1O0-N9CM49AF-3999ZSHA},2010-09-20 23:55:00,MCF0600,PC-8790,,23,0,,7,,,,,,,restricted report lie covert middle-east top-secret restricted sabatoge restricted russia spy china middle-east surveillance distort subterfuge isreal lie distort top-secret chronicle 2010 restricted subterfuge overthrow currency covert forgery lie middle-east evade evade sabatoge overthrow isreal lie clandestine clandestine restricted 2010 deceit lie clandestine currency,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{J7K0-T4YD55IA-3649YYIY},2010-09-20 23:56:00,MCF0600,PC-8790,Disconnect,23,0,,4,,,,,,,,,,,
{G9E0-F2PT31XK-0858DQRB},2010-09-21 03:18:00,MCF0600,PC-8790,Logoff,3,1,,2,,,,,,,,,,,
{G2K3-H2ED04VB-0486AVIV},2010-09-22 00:16:00,MCF0600,PC-8790,Logon,0,2,,1,,,,,,,,,,,
{N6Q1-O9BW49JS-3905TLRC},2010-09-22 03:09:00,MCF0600,PC-8790,Connect,3,2,,3,,,,,,,,,,,
{Z3N5-H3UD08SG-4585PKSE},2010-09-22 04:13:00,MCF0600,PC-8790,,4,2,,7,,,,,,,europe distort currency restricted evade covert forgery currency surveillance aisa top-secret russia evade restricted clandestine spy sabatoge conspiracy sabatoge middle-east report spy spy sabatoge forgery overthrow lie lie clandestine report isreal bait overthrow europe distort aisa top-secret 2010 evade middle-east surveillance isreal russia report overthrow covert report top-secret,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{L3T0-M7OL92WH-6597QPFY},2010-09-22 04:26:00,MCF0600,PC-8790,Disconnect,4,2,,4,,,,,,,,,,,
{M0U1-P5VN82JV-9070OZFG},2010-09-22 05:07:00,MCF0600,PC-8790,Logoff,5,2,,2,,,,,,,,,,,
{O8V3-V4AF70JX-6834ZHTH},2010-09-23 00:10:00,MCF0600,PC-8790,Logon,0,3,,1,,,,,,,,,,,
{K3Q1-J4TG48IE-0779FWPH},2010-09-23 00:45:00,MCF0600,PC-8790,Connect,0,3,,3,,,,,,,,,,,
{P7Z7-V1IN84OR-5109IJWU},2010-09-23 01:36:00,MCF0600,PC-8790,,1,3,,7,,,,,,,blackmail restricted currency spy 2010 evade evade clandestine bait sabatoge blackmail confidential confidential bait evade subterfuge surveillance restricted overthrow evade forgery deceit top-secret forgery spy blackmail forgery isreal report top-secret 2010 deceit forgery distort subterfuge report isreal forgery top-secret restricted middle-east spy overthrow clandestine 2010 china subterfuge evade top-secret evade blackmail top-secret surveillance top-secret report confidential surveillance middle-east bait blackmail covert forgery,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{N8C7-M6EI31JB-1453SWOT},2010-09-23 01:53:00,MCF0600,PC-8790,Disconnect,1,3,,4,,,,,,,,,,,
{X0K1-G4UB03SF-8924DTNH},2010-09-23 02:00:00,MCF0600,PC-8790,Logoff,2,3,,2,,,,,,,,,,,
{U7T6-S1OK45TH-7991HXBL},2010-12-13 20:30:00,MYD0978,PC-3401,Logon,20,0,,1,,,,,,,,,,,
{O2W9-Z0NI33WY-2191NGSB},2010-12-13 21:29:00,MYD0978,PC-3401,Connect,21,0,,3,,,,,,,,,,,
{M4M6-R5UR00FF-3309UUMD},2010-12-13 21:31:00,MYD0978,PC-3401,,21,0,,7,,,,,,,sabatoge middle-east spy report bait surveillance 2010 surveillance blackmail middle-east surveillance 2010 subterfuge evade forgery lie russia isreal conspiracy chronicle russia confidential clandestine chronicle clandestine middle-east evade covert currency surveillance distort currency top-secret restricted evade sabatoge europe restricted top-secret spy clandestine sabatoge restricted sabatoge covert surveillance restricted sabatoge restricted spy sabatoge bait middle-east europe china report clandestine bait distort conspiracy spy covert distort middle-east spy china report overthrow surveillance bait chronicle evade,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{L1P0-S1DK89JV-9489LRWJ},2010-12-13 21:32:00,MYD0978,PC-3401,Disconnect,21,0,,4,,,,,,,,,,,
{C8Q5-U0BD24SE-3493IXCD},2010-12-14 06:42:00,MYD0978,PC-3401,Logoff,6,1,,2,,,,,,,,,,,
{V6A4-W7DI71EG-7163QZOS},2010-12-15 02:57:00,MYD0978,PC-3401,Logon,2,2,,1,,,,,,,,,,,
{A6O6-N7FR05QM-3820PLTG},2010-12-15 06:29:00,MYD0978,PC-3401,Connect,6,2,,3,,,,,,,,,,,
{Q2Q2-W5CH40TI-3315PNUB},2010-12-15 06:32:00,MYD0978,PC-3401,,6,2,,7,,,,,,,overthrow confidential chronicle evade 2010 conspiracy report conspiracy top-secret lie evade distort isreal covert confidential chronicle forgery spy evade confidential aisa deceit 2010 aisa restricted currency lie covert evade conspiracy lie deceit aisa blackmail overthrow subterfuge subterfuge spy surveillance lie middle-east evade currency evade forgery conspiracy spy deceit restricted evade handler forgery sabatoge top-secret,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{W0K1-G6FQ87LF-5631TWDR},2010-12-15 06:33:00,MYD0978,PC-3401,Disconnect,6,2,,4,,,,,,,,,,,
{W7X8-R3ML78KD-3716UWCJ},2010-12-15 06:35:00,MYD0978,PC-3401,Logoff,6,2,,2,,,,,,,,,,,
{Y3N8-D7FS11QZ-2998XUVC},2010-12-18 06:44:00,MYD0978,PC-3401,Logon,6,5,,1,,,,,,,,,,,
{F0A8-E9HP86BQ-6018KBAG},2010-12-18 06:58:00,MYD0978,PC-3401,Connect,6,5,,3,,,,,,,,,,,
{G8X3-K7XE93SO-8701EIXN},2010-12-18 06:59:00,MYD0978,PC-3401,,6,5,,7,,,,,,,surveillance subterfuge bait aisa currency isreal currency covert top-secret distort covert spy evade overthrow clandestine evade spy europe isreal spy surveillance middle-east middle-east top-secret europe spy deceit lie clandestine deceit china evade lie middle-east covert distort surveillance forgery blackmail russia lie,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{U9N1-L3HU21BS-5466CAIN},2010-12-18 07:00:00,MYD0978,PC-3401,Disconnect,7,5,,4,,,,,,,,,,,
{M6X3-C6BK25SO-9339TTNX},2010-12-18 07:02:00,MYD0978,PC-3401,Logoff,7,5,,2,,,,,,,,,,,
{B6I5-M1JG28QH-1228TOAT},2011-02-09 03:00:00,PPF0435,PC-1809,Logon,3,2,,1,,,,,,,,,,,
{W1Y4-R1FU04XY-7904VHSY},2011-02-09 05:01:00,PPF0435,PC-1809,Connect,5,2,,3,,,,,,,,,,,
{C2W1-N3IB87IO-6738SJPV},2011-02-09 06:09:00,PPF0435,PC-1809,,6,2,,7,,,,,,,restricted chronicle middle-east confidential forgery subterfuge report bait aisa deceit top-secret aisa russia bait europe distort overthrow evade spy currency report report lie covert chronicle isreal lie europe conspiracy forgery confidential russia clandestine europe aisa forgery subterfuge confidential bait middle-east middle-east currency currency top-secret surveillance conspiracy lie bait deceit evade,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{N2Q4-Y1EB26SL-5664ZEQX},2011-02-09 06:42:00,PPF0435,PC-1809,Disconnect,6,2,,4,,,,,,,,,,,
{S9Q6-I5KK71JG-7537IUBB},2011-02-09 06:46:00,PPF0435,PC-1809,Logoff,6,2,,2,,,,,,,,,,,
{F2O1-E8QN28MA-7245ETPY},2010-09-13 23:18:00,RAB0589,PC-1609,Logon,23,0,,1,,,,,,,,,,,
{Z5V3-N3DD85OW-7613DBVV},2010-09-13 23:27:00,RAB0589,PC-1609,Connect,23,0,,3,,,,,,,,,,,
{T2V5-Q5FW35ND-8524HHKM},2010-09-13 23:31:00,RAB0589,PC-1609,,23,0,,7,,,,,,,deceit restricted europe middle-east lie evade covert isreal surveillance clandestine covert covert russia europe clandestine spy confidential distort spy isreal covert blackmail report deceit lie distort surveillance isreal isreal lie china currency lie evade overthrow middle-east subterfuge report currency isreal middle-east deceit russia covert blackmail 2010 forgery isreal overthrow covert evade,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
